locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RcsAB,link
b2049,0.1956908179,cpsB,mannose-1-phosphate guanylyltransferase,Carbohydrate transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10161
b2047,0.1863932945,wcaJ,undecaprenyl-phosphate glucose phosphotransferase,Cell wall/membrane/envelope biogenesis,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7098
b2058,0.1821394894,wcaB,putative colanic acid biosynthesis acyl transferase,Amino acid transport and metabolism,wza-wzb-wzc-wcaAB,"RpoD,RcsAB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7103
b2057,0.1803558595,wcaC,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7102
b2045,0.1658385048,wcaK,putative colanic acid biosynthesis pyruvyl transferase,Function unknown,wcaKLM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7096
b4026,0.1622243659,yjbE,uncharacterized protein YjbE,No COG annotation,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11923
b2046,0.1582206977,wzxC,M-antigen undecaprenyl disphosphate flippase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7097
b4027,0.1525520363,yjbF,lipoprotein YjbF,Cell wall/membrane/envelope biogenesis,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11924
b4028,0.1285507943,yjbG,capsule biosynthesis GfcC family protein YjbG,Function unknown,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11925
b2044,0.1202543295,wcaL,putative colanic biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,wcaKLM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7095
b2028,0.10371964980000001,ugd,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,ugd,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7091
b4029,0.09780224550000001,yjbH,YjbH family protein,Cell wall/membrane/envelope biogenesis,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11926
b2043,0.0893736525,wcaM,putative colanic acid biosynthesis protein WcaM,Cell wall/membrane/envelope biogenesis,wcaKLM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7094
b1951,0.0796730065,rcsA,DNA-binding transcriptional activator RcsA,Transcription,rcsA,"RpoD,H-NS,RcsAB,GadE,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10820
b3562,0.056065547800000004,yiaA,conserved inner membrane protein YiaA,Function unknown,yiaA,RpoH,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11186
b3563,0.050785671500000004,yiaB,conserved inner membrane protein YiaB,Function unknown,yiaB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11267
b1115,0.0481255583,ycfT,inner membrane protein YcfT,Function unknown,ycfT,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6572
b0403,0.0390695926,malZ,maltodextrin glucosidase,Carbohydrate transport and metabolism,malZ,MalT,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10565
b0527,0.0351562554,ybcI,conserved inner membrane protein YbcI,Function unknown,ybcI,"YdcN,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12708
b3003,0.033346568,yghA,NADP(+)-dependent aldehyde reductase,Lipid transport and metabolism,yghA,"YcjW,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11292
b0439,-0.0367620041,lon,Lon protease,"Post-translational modification, protein turnover,and chaperones",clpPX-lon,"RpoD,RpoE,RpoH,gcvB,GadX",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
