locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FlhDC,link
b1921,0.10869039130000001,fliZ,DNA-binding transcriptional regulator FliZ,Transcription,fliAZ-tcyJ,"RpoD,YidZ,H-NS,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11356
b1937,0.10585987270000001,fliE,flagellar basal-body protein FliE,Cell motility,fliE,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b1942,0.1042406798,fliJ,flagellar biosynthesis protein FliJ,Cell motility,fliFGHIJK,"RpoD,FliA,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G378
b1943,0.0999993507,fliK,flagellar hook-length control protein,Cell motility,fliFGHIJK,"RpoD,FliA,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G379
b1948,0.0970014144,fliP,flagellar biosynthesis protein FliP,Cell motility,fliLMNOPQR,"RpoD,FliA,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11975
b1904,0.0870707282,yecR,lipoprotein YecR,Function unknown,yecR,"Fnr,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7035
b1949,0.0619281099,fliQ,flagellar biosynthesis protein FliQ,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b1082,0.057090254300000004,flgK,flagellar hook-filament junction protein 1,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1071,0.0525722925,flgM,anti-sigma factor for FliA (sigma(28)),Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD,omrA,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G369
b1879,0.048576967400000004,flhA,flagellar biosynthesis protein FlhA,Cell motility,flhBAE,"RpoD,YcjW,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G370
b1878,0.0479265956,flhE,flagellar protein,Cell motility,flhBAE,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7027
b1070,0.0404720203,flgN,flagellar biosynthesis protein FlgN,Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b1891,0.0351601729,flhC,DNA-binding transcriptional dual regulator FlhC,Transcription,flhDC,"OmpR,QseB,RpoD,RpoN,IHF,AcrR,Fur,YjjQ,Crp,ppGpp,LrhA,RcsAB,EcpR,H-NS,HdfR,FliZ,arcZ,mcaS,omrA,omrB,oxyS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10319
b1924,0.0327664271,fliD,flagellar filament capping protein,Cell motility,fliDST,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b1742,-0.0335349281,ves,HutD family protein Ves,Function unknown,ves,FliA,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6938
b1566,-0.0335967305,flxA,Qin prophage%3B protein FlxA,No COG annotation,flxA,"Fis,FliA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
