locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Sfa2,link
PA1659,0.120788792,PA1659,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1659&e1=1&assembly=complete
PA5266,0.11998277700000001,PA5266,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5266&e1=1&assembly=complete
PA3294,0.11823315100000001,PA3294,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3294&e1=1&assembly=complete
PA1660,0.11686513800000001,PA1660,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1660&e1=1&assembly=complete
PA1662,0.116236028,PA1662,,ClpA/B-type protease,"Post-translational modification, protein turnover,and chaperones",Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1662&e1=1&assembly=complete
PA1670,0.11602472900000001,stp1,,serine/threonine phosphoprotein phosphatase Stp1,Signal transduction mechanisms,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1670&e1=1&assembly=complete
PA1669,0.11480261,PA1669,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1669&e1=1&assembly=complete
PA1667,0.10685101400000001,PA1667,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1667&e1=1&assembly=complete
PA3487,0.104263535,pldA,,phospholipase D,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3487&e1=1&assembly=complete
PA1671,0.102094866,stk1,,serine-threonine kinase Stk1,Transcription,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1671&e1=1&assembly=complete
PA1656,0.09737280100000001,PA1656,,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1656&e1=1&assembly=complete
PA3292,0.096539233,PA3292,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3292&e1=1&assembly=complete
PA3488,0.087460666,PA3488,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3488&e1=1&assembly=complete
PA3486,0.08563256,PA3486,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3486&e1=1&assembly=complete
PA1664,0.08548808000000001,PA1664,,hypothetical protein,No COG annotation,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1664&e1=1&assembly=complete
PA3293,0.08045278700000001,PA3293,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3293&e1=1&assembly=complete
PA3291,0.077720404,PA3291,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3291&e1=1&assembly=complete
PA1511,0.075095986,PA1511,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1511&e1=1&assembly=complete
PA1510,0.070728733,PA1510,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1510&e1=1&assembly=complete
PA0261,0.06962263,PA0261,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0261&e1=1&assembly=complete
PA5530,0.06815243700000001,PA5530,,MFS dicarboxylate transporter,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5530&e1=1&assembly=complete
PA0262,0.066268779,PA0262,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0262&e1=1&assembly=complete
