locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CpxR,link
b4170,0.0523622251,mutL,DNA mismatch repair protein MutL,"Replication, recombination and repair",yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC,"RpoD,YidZ,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11281
b0969,0.0521470781,tusE,sulfur transfer protein TusE,"Translation, ribosomal structure and biogenesis",tusE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12876
b0837,0.051420108000000006,yliI,aldose sugar dehydrogenase YliI,Carbohydrate transport and metabolism,yliI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6437
b1816,0.0499988954,yoaE,putative inner membrane protein,Inorganic ion transport and metabolism,yoaE,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6997
b0571,0.0480248582,cusR,DNA-binding transcriptional activator CusR,Transcription,cusRS,"RpoD,PhoB,CusR,HprR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6319
b0839,0.0471958106,dacC,D-alanyl-D-alanine carboxypeptidase DacC,Cell wall/membrane/envelope biogenesis,dacC,"RpoD,BolA,ArgR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10203
b1655,-0.0479833115,mepH,peptidoglycan DD-endopeptidase MepH,Cell wall/membrane/envelope biogenesis,mepH,"RpoD,NsrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6892
b1205,-0.0483874251,ychH,stress-induced protein,Function unknown,ychH,"RpoD,Crp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11533
b4490,-0.058269536600000005,efeU,inactive ferrous iron permease EfeU%2C N-terminal fragment,No COG annotation,,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6525
b0287,-0.16501483690000002,yagU,inner membrane protein that contributes to acid resistance,Function unknown,yagU,"YfeC,YfeD,ppGpp,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6158
