locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,link
b4139,0.0879526339508194,aspA,aspartate ammonia-lyase,Amino acid transport and metabolism,"RpoD,Fnr,Crp,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10095
b0380,0.0867243188657706,yaiZ,DUF2754 domain-containing protein YaiZ,Function unknown,"oxyS,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6229
b2597,0.0858572897051055,raiA,stationary phase translation inhibitor and ribosome stability factor,"Translation, ribosomal structure and biogenesis","RpoH,Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11151
b0791,0.0842010989866981,ybhQ,putative inner membrane protein,Function unknown,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6408
b3001,0.080548698931587,gpr,L-glyceraldehyde 3-phosphate reductase,Energy production and conversion,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7558
b3674,0.0773793349528867,yidF,uncharacterized protein YidF,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11694
b0306,0.0738846366871479,ykgE,putative lactate utilization oxidoreductase YkgE,Energy production and conversion,"YieP,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6176
b1799,0.0736150725352761,dmlR,DNA-binding transcriptional regulator DmlR,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6985
b3087,0.0724211438805563,ygjR,putative oxidoreductase YgjR,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7606
b1138,0.0719855284192745,ymfE,e14 prophage%3B uncharacterized protein YmfE,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6583
b3382,0.0709093724010625,yhfY,conserved protein YhfY,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7734
b1002,0.0708903559569368,agp,glucose-1-phosphatase,Function unknown,"Crp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10033
b3383,0.070205431912818,yhfZ,putative DNA-binding transcriptional regulator YhfZ,Transcription,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7735
b2426,0.0695408626571194,ucpA,putative oxidoreductase,Lipid transport and metabolism,YbcM,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12133
b3872,0.0666079355113976,yihL,putative transcriptional regulator YihL,Transcription,"YihL,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11838
b2398,0.0659672417297835,yfeC,putative DNA-binding transcriptional regulator YfeC,"Replication, recombination and repair",,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11431
b3906,0.0658450732716299,rhaR,DNA-binding transcriptional activator RhaR,Transcription,"RpoD,RpoS,Crp,RhaR,RhaS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10842
b2240,0.0647527427291408,glpT,sn-glycerol 3-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,"RpoD,Fnr,Fis,Crp,IHF,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10401
b1308,0.0638561514723279,pspE,thiosulfate sulfurtransferase PspE,Inorganic ion transport and metabolism,"RpoN,IHF,PspF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10780
b4090,0.0634260546083426,rpiB,allose-6-phosphate isomerase/ribose-5-phosphate isomerase B,Carbohydrate transport and metabolism,"RpoD,AlsR,Lrp,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11827
b1976,0.0633371696449088,mtfA,Mlc titration factor,Function unknown,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7063
b1770,0.06332498708062,ydjF,putative DNA-binding transcriptional regulator YdjF,Transcription,YdcR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6957
b2775,0.0630072475936752,yqcE,putative transport protein YqcE,Inorganic ion transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG13174
b1427,0.062381467135845,rimL,ribosomal-protein-L12-serine acetyltransferase,"Translation, ribosomal structure and biogenesis",YfeD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10853
b1440,0.0602444950591758,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,"RpoS,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1462,0.059674909061597,yddH,flavin reductase-like protein YddH,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6769
b1620,0.0586745596506659,malI,DNA-binding transcriptional repressor MalI,Transcription,"RpoD,Crp,MalI,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10557
b2259,0.0580576848753946,pmrD,signal transduction protein PmrD,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7172
b3049,0.057357352330398,glgS,surface composition regulator,Function unknown,"RpoS,Crp,CsrA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11381
b1423,0.057198582731549,ydcJ,DUF1338 domain-containing protein YdcJ,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6738
b4216,0.0569660367378846,ytfJ,protein YtfJ,Function unknown,"RpoE,Lrp,Nac,spf",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7871
b4525,0.0549268573134003,ymjC,putative uncharacterized protein YmjC,Carbohydrate transport and metabolism,"RpoH,PgrR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10446
b3263,0.0549237435814928,yhdU,DUF2556 domain-containing protein YhdU,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7694
b3749,0.0541454759053124,rbsA,ribose ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,"RpoD,YciT,YeiE,YbiH,Crp,ppGpp,RbsR,dsrA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10814
b2980,0.0531566147132331,glcC,DNA-binding transcriptional dual regulator GlcC,Transcription,"RpoD,Crp,Fis,Cra,GlcC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7546
b2146,0.0528093570410712,preT,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,Energy production and conversion,"RpoD,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7145
b3117,0.0518751342766677,tdcB,catabolic threonine dehydratase,Amino acid transport and metabolism,"Fnr,Crp,IHF,TdcA,TdcR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10990
b3905,0.0516854514941961,rhaS,DNA-binding transcriptional activator RhaS,Transcription,"RpoD,RpoS,Crp,RhaR,RhaS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10843
b1256,0.049732970677498,ompW,outer membrane protein W,Cell wall/membrane/envelope biogenesis,"rybB,ArcA,Crp,NarL,Fnr,SoxS,Fur,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11124
b2248,0.049554085840596,yfaX,putative DNA-binding transcriptional regulator YfaX,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7161
b3418,0.0490453883304796,malT,DNA-binding transcriptional activator MalT,Transcription,"RpoD,YidZ,Mlc,Lrp,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10562
b2141,-0.0644306845526783,yohJ,PF03788 family membrane protein YohJ,Function unknown,YieP,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12023
