locus,gene_weight,gene_name,gene_product,cog,operon,regulator,stringent response,link
BSU_01230,0.1164052411624499,rplP,ribosomal protein L16,"Translation, ribosomal structure and biogenesis",Op84,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01230
BSU_01210,0.11279099422149992,rplV,ribosomal protein L22 (BL17),"Translation, ribosomal structure and biogenesis",Op82,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01210
BSU_01380,0.1114984735775272,mapA,methionine aminopeptidase,Amino acid transport and metabolism,Op99,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01380
BSU_01390,0.11090949124261744,infA,initiation factor IF-I,"Translation, ribosomal structure and biogenesis",Op101,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01390
BSU_01200,0.1098782568509387,rpsS,ribosomal protein S19 (BS19),"Translation, ribosomal structure and biogenesis",Op81,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01200
BSU_01360,0.10671198428539108,secY,preprotein translocase subunit,"Intracellular trafficking, secretion, and vesicular transport",Op97,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01360
BSU_01370,0.10527016885713067,adk,adenylate kinase,Nucleotide transport and metabolism,Op98,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01370
BSU_01400,0.10080500406531766,rpmJ,ribosomal protein L36 (ribosomal protein B),"Translation, ribosomal structure and biogenesis",Op102,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01400
BSU_01410,0.09496487431180288,rpsM,ribosomal protein S13,"Translation, ribosomal structure and biogenesis",Op103,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01410
BSU_01180,0.09472688130536636,rplW,ribosomal protein L23,"Translation, ribosomal structure and biogenesis",Op79,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01180
BSU_01190,0.09023777750807134,rplB,ribosomal protein L2 (BL2),"Translation, ribosomal structure and biogenesis",Op80,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01190
BSU_01170,0.08810333448215968,rplD,ribosomal protein L4,"Translation, ribosomal structure and biogenesis",Op78,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01170
BSU_01420,0.08557374508837018,rpsK,ribosomal protein S11 (BS11),"Translation, ribosomal structure and biogenesis",Op104,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01420
BSU_01430,0.0802812489491622,rpoA,RNA polymerase (alpha subunit),Transcription,Op105,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01430
BSU_01440,0.07046081524308231,rplQ,ribosomal protein L17 (BL15),"Translation, ribosomal structure and biogenesis",Op106,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01440
BSU_01160,0.06877202811702332,rplC,ribosomal protein L3 (BL3),"Translation, ribosomal structure and biogenesis",Op77,"SigA,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01160
BSU_01050,0.06653526805218812,rplL,ribosomal protein L12 (BL9),"Translation, ribosomal structure and biogenesis",Op66,"RplJ,RplL,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01050
BSU_01040,0.06613118367263278,rplJ,ribosomal protein L10 (BL5),"Translation, ribosomal structure and biogenesis",Op66,"RplJ,RplL,stringent response",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01040
BSU_01060,0.06599193240693046,rlmG,23S rRNA m2G1835 methyltransferase,"Translation, ribosomal structure and biogenesis",Op67,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01060
BSU_01450,0.06564467538556945,ecfA,energizing coupling factor of ABC influx transporter (ATP-binding protein),Inorganic ion transport and metabolism,Op107,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01450
BSU_01460,0.0616810526206351,ecfAB,energizing coupling factor of ABC influx transporter (ATP-binding protein),Inorganic ion transport and metabolism,Op108,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_01460
