locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CpxR,link
b0461,0.11147723470000001,tomB,protein that modulates Hha toxicity,"Replication, recombination and repair",tomB-hha,"RpoD,PdhR,YdcI,CpxR,BasR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12429
b1902,0.1089578333,ftnB,putative ferritin-like protein,Inorganic ion transport and metabolism,ftnB,"RpoD,RpoE,CpxR,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7033
b3859,0.0975914977,srkA,stress response kinase A,Nucleotide transport and metabolism,srkA-dsbA,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11831
b0495,0.0940285122,ybbA,putative ABC transporter ATP-binding protein YbbA,Inorganic ion transport and metabolism,ybbAP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11657
b4188,0.09268243920000001,yjfN,protease activator,Function unknown,yjfN,CpxR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7851
b1814,0.0857532132,sdaA,L-serine deaminase I,Amino acid transport and metabolism,sdaA,"RpoH,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10930
b3095,0.08451762510000001,yqjA,DedA family protein YqjA,Function unknown,yqjA-mzrA,"RpoD,RpoE,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7609
b1601,0.0812953415,tqsA,autoinducer 2 exporter,Signal transduction mechanisms,tqsA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6859
b0496,0.0786846166,ybbP,putative ABC transporter membrane subunit YbbP,"Secondary metabolites biosynthesis, transport, and catabolism",ybbAP,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6270
b0460,0.0771835787,hha,hemolysin expression modulating protein,Transcription,tomB-hha,"PdhR,RpoD,CpxR,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10439
b3363,0.0753129067,ppiA,peptidyl-prolyl cis-trans isomerase A,"Post-translational modification, protein turnover,and chaperones",ppiA,"RpoD,YdhB,YqhC,Crp,CpxR,CytR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10757
b2666,0.0728644695,yqaE,Pmp3 family protein,Function unknown,yqaE-kbp,"cyaR,CpxR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7396
b3096,0.07245888290000001,mzrA,modulator protein MzrA,Function unknown,yqjA-mzrA,"RpoD,RpoE,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7610
b3037,0.07023956270000001,ygiB,DUF1190 domain-containing protein YgiB,Function unknown,tolC-ygiABC,"PhoP,Rob,SoxS,RpoS,MarA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11164
b3038,0.0685809046,ygiC,putative enzyme with ATPase activity,Amino acid transport and metabolism,tolC-ygiABC,"PhoP,Rob,SoxS,RpoS,MarA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11165
b0837,0.067996152,yliI,aldose sugar dehydrogenase YliI,Carbohydrate transport and metabolism,yliI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6437
b4392,0.0675178934,slt,soluble lytic murein transglycosylase,Cell wall/membrane/envelope biogenesis,slt,"RpoH,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10950
b1743,0.06619198080000001,spy,ATP-independent periplasmic chaperone,Cell motility,spy,"RpoD,CpxR,BaeR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6939
b0459,0.0657607742,maa,maltose O-acetyltransferase,Function unknown,maa,YcjW,False,https://ecocyc.org/gene?orgid=ECOLI&id=G58
b3912,0.0652717753,cpxR,DNA-binding transcriptional dual regulator CpxR,Transcription,cpxRA,"RpoD,RpoS,CpxR,micF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10020
b1586,0.06520773390000001,ynfD,DUF1161 domain-containing protein YnfD,Function unknown,ynfD,"Nac,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6844
b3860,0.0647215272,dsbA,thiol:disulfide oxidoreductase DsbA,"Post-translational modification, protein turnover,and chaperones",srkA-dsbA,"RpoD,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11297
b4313,0.0646960137,fimE,regulator for fimA,Transcription,fimE,"RpoD,YdhB,Lrp,LrhA,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10312
b0161,0.0620812175,degP,periplasmic serine endoprotease DegP,"Post-translational modification, protein turnover,and chaperones",degP,"RpoE,H-NS,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10463
b1785,0.0590209727,cdgI,putative c-di-GMP binding protein CdgI,Signal transduction mechanisms,cdgI,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6971
b1816,0.0590100494,yoaE,putative inner membrane protein,Inorganic ion transport and metabolism,yoaE,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6997
b4751,0.0571299944,yoaL,protein YoaL,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16745
b1600,0.055430889500000004,mdtJ,multidrug/spermidine efflux pump membrane subunit MdtJ,Inorganic ion transport and metabolism,mdtJI,"RpoD,ppGpp,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6858
b3461,0.0528358816,rpoH,RNA polymerase%2C sigma 32 (sigma H) factor,Transcription,rpoH,"RpoD,RpoN,RpoE,RpoS,DnaA,CpxR,Crp,IHF,CytR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10897
b4171,0.051533202900000005,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis",yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC,"RpoD,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10595
b4170,0.0500888463,mutL,DNA mismatch repair protein MutL,"Replication, recombination and repair",yjeF-tsaE-amiB-mutL-miaA-hfq-hflXKC,"RpoD,YidZ,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11281
b1057,0.0487616336,yceJ,putative cytochrome b561,Energy production and conversion,yceJI,"RpoD,RpoH",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6554
b0839,0.0485567233,dacC,D-alanyl-D-alanine carboxypeptidase DacC,Cell wall/membrane/envelope biogenesis,dacC,"RpoD,BolA,ArgR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10203
b1599,0.0483272542,mdtI,multidrug/spermidine efflux pump membrane subunit MdtI,Inorganic ion transport and metabolism,mdtJI,"RpoD,ppGpp,H-NS",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6857
b1424,0.0469922215,opgD,glucan biosynthesis protein D,Inorganic ion transport and metabolism,opgD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12859
b4490,-0.06999646350000001,efeU,inactive ferrous iron permease EfeU%2C N-terminal fragment,No COG annotation,,"RpoD,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6525
b0287,-0.1959667967,yagU,inner membrane protein that contributes to acid resistance,Function unknown,yagU,"YfeC,YfeD,ppGpp,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6158
