locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoS,link
b3239,0.0909408708,yhcO,putative barnase inhibitor,Transcription,yhcO,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7684
b1795,0.09052105740000001,yeaQ,PF04226 family protein YeaQ,Function unknown,yeaQ,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6981
b0384,0.09033841890000001,psiF,PsiF family protein,Function unknown,phoA-psiF,"RpoD,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11401
b3153,0.0888718414,yhbO,protein/nucleic acid deglycase 2,Function unknown,yhbO,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7647
b2665,0.0876912948,kbp,K(+) binding protein,Function unknown,yqaE-kbp,"RpoS,CpxR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7395
b2086,0.0872567139,yegS,lipid kinase,Nucleotide transport and metabolism,yegS,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7123
b3336,0.08717601400000001,bfr,bacterioferritin,Inorganic ion transport and metabolism,bfd-bfr,"ryhB,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10113
b0707,0.08578376330000001,ybgA,DUF1722 domain-containing protein YbgA,Function unknown,ybgA-phr,"RpoS,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11108
b0581,0.0857736586,ybdK,carboxylate-amine ligase,Nucleotide transport and metabolism,ybdK,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6326
b2097,0.0829943224,fbaB,fructose-bisphosphate aldolase class I,Nucleotide transport and metabolism,fbaB,"YfeD,RpoS,Cra,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7129
b2130,0.0826045321,yehY,glycine betaine ABC transporter membrane subunit YehY,Inorganic ion transport and metabolism,osmF-yehYXW,"RpoH,RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12011
b1668,0.0792400073,ydhS,FAD/NAD(P) binding domain-containing protein YdhS,Function unknown,ydhS,"YdcN,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6896
b0453,0.0758507346,ybaY,PF09619 family lipoprotein YbaY,Function unknown,ybaY,oxyS,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6250
b0325,0.0746415183,yahK,aldehyde reductase%2C NADPH-dependent,Function unknown,yahK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6190
b1341,0.07451963710000001,dgcM,diguanylate cyclase DgcM,Signal transduction mechanisms,dgcM,"ppGpp,Lrp,omrA,omrB,rprA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6673
b1480,0.0741862908,sra,30S ribosomal subunit protein S22,"Translation, ribosomal structure and biogenesis",bdm-sra,"OmpR,RpoS,IHF,Fis,RcsB,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11508
b2128,0.0724789592,yehW,glycine betaine ABC transporter membrane subunit YehW,Inorganic ion transport and metabolism,osmF-yehYXW,"RpoH,RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12009
b2661,0.072243387,gabD,NADP(+)-dependent succinate-semialdehyde dehydrogenase,Energy production and conversion,csiD-lhgO-gabDTP,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11329
b2543,0.0706533788,yphA,putative inner membrane protein,Function unknown,yphA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7337
b2662,0.07028513980000001,gabT,4-aminobutyrate aminotransferase GabT,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10361
b1927,0.06984991880000001,amyA,alpha-amylase,Carbohydrate transport and metabolism,amyA,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11387
b2129,0.0686788249,yehX,glycine betaine ABC transporter ATP binding subunit YehX,Inorganic ion transport and metabolism,osmF-yehYXW,"YidZ,RpoH,RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12010
b1482,0.0676379729,osmC,osmotically inducible peroxiredoxin,"Post-translational modification, protein turnover,and chaperones",osmC,"RpoD,RpoS,H-NS,ppGpp,Lrp,RcsB,NhaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10680
b2137,0.0675285274,yohF,putative oxidoreductase with NAD(P)-binding Rossmann-fold domain,Lipid transport and metabolism,yohF,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12019
b1955,0.06252842310000001,yedP,putative mannosyl-3-phosphoglycerate phosphatase,Function unknown,yedP,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7048
b3361,0.0619834324,fic,putative adenosine monophosphate--protein transferase Fic,"Cell cycle control, cell division, chromosome partitioning",yhfG-fic-pabA,RpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10307
b2809,0.0610537468,ygdI,DUF903 domain-containing lipoprotein YgdI,Cell wall/membrane/envelope biogenesis,ygdI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7453
b0812,0.060904088,dps,stationary phase nucleoid protein that sequesters iron and protects DNA from damage,Inorganic ion transport and metabolism,dps,"OxyR,RpoD,oxyS,RpoS,IHF,MntR,ppGpp,Fis,H-NS,ArgR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11415
b3099,0.0601285201,yqjE,conserved inner membrane protein YqjE,Function unknown,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7613
b3098,0.058878248700000003,yqjD,ribosome- and membrane-associated DUF883 domain-containing protein YqjD,Function unknown,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7612
b1847,0.0587164327,yebF,secreted protein YebF,Function unknown,yebF,"Lrp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11807
b1739,0.0586213757,osmE,osmotically-inducible lipoprotein OsmE,Cell wall/membrane/envelope biogenesis,osmE,"RpoD,YeiE,RpoS,IHF,ppGpp,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10044
b3524,0.0585505158,yhjG,AsmA family protein YhjG,Cell wall/membrane/envelope biogenesis,yhjG,RpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12251
b1724,0.0576019808,ydiZ,protein YdiZ,Function unknown,ydiZ,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6929
b0788,0.0560317361,ybhN,conserved inner membrane protein YbhN,Function unknown,ybhP-clsB-ybhN,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6405
b3100,0.0553845737,yqjK,conserved protein YqjK,Function unknown,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7614
b3097,0.0552325875,yqjC,DUF1090 domain-containing protein YqjC,Function unknown,yqjCDEK,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7611
b4127,0.0551872419,yjdJ,putative N-acetyltransferase YjdJ,Function unknown,yjdIJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7829
b1536,0.054583730000000004,ydeI,BOF family protein YdeI,Function unknown,ydeI,"RpoD,RcdA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11644
b1197,0.0538950989,treA,periplasmic trehalase,Carbohydrate transport and metabolism,treA,"YdcN,RpoS,Lrp,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11017
b2127,0.0538395375,mlrA,DNA-binding transcriptional activator MlrA,Transcription,mlrA,"RpoD,RpoS,FliZ",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12008
b3588,0.0535992306,aldB,aldehyde dehydrogenase B,Energy production and conversion,aldB,"RpoS,Crp,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12292
b2660,0.052827992000000004,lhgO,L-2-hydroxyglutarate oxidase,Energy production and conversion,csiD-lhgO-gabDTP,"YidZ,RpoS,H-NS,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12387
b1519,0.0525326146,tam,trans-aconitate 2-methyltransferase,"Translation, ribosomal structure and biogenesis",lsrACDBFG-tam,"RpoS,Crp,ppGpp,LsrR,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6806
b3548,0.052376594900000004,yhjY,conserved protein YhjY,Cell motility,yhjY,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12269
b0806,0.051921337500000005,mcbA,DUF1471 domain-containing protein McbA,Function unknown,mcbA,"RpoD,McbR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6415
b3024,0.0510981796,ygiW,BOF family protein YgiW,Function unknown,ygiW,"Lrp,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7574
b2347,0.05055919800000001,yfdC,inner membrane protein YfdC,Inorganic ion transport and metabolism,yfdC,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7217
b0456,0.0502683583,ybaA,DUF1428 domain-containing protein YbaA,Function unknown,ybaA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11099
b3362,0.0500716506,yhfG,DUF2559 domain-containing protein YhfG,Function unknown,yhfG-fic-pabA,RpoS,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12374
b1449,0.0477724764,curA,NADPH-dependent curcumin/dihydrocurcumin reductase,Function unknown,curA,"Nac,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6760
b2663,0.0464017559,gabP,4-aminobutyrate:H(+) symporter,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,YddM,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11330
b1678,0.0463064911,ldtE,L%2CD-transpeptidase LdtE,Cell wall/membrane/envelope biogenesis,ldtE,"YdcR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6904
b1646,0.045849835900000004,sodC,superoxide dismutase (Cu-Zn),Inorganic ion transport and metabolism,sodC,"YeiE,RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6886
b2112,0.0455084141,yehE,DUF2574 domain-containing protein YehE,Function unknown,yehE,"Nac,GlaR,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11991
b1258,0.0451672962,yciF,DUF892 domain-containing protein YciF,Function unknown,yciGFE,"RpoS,McbR,H-NS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11126
b3102,0.0450813589,yqjG,glutathionyl-hydroquinone reductase YqjG,"Post-translational modification, protein turnover,and chaperones",yqjG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7616
b4126,0.0449932071,yjdI,PF06902 family protein YjdI,Function unknown,yjdIJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7828
b2602,0.0441591652,yfiL,DUF2799 domain-containing lipoprotein YfiL,Function unknown,yfiL,"Nac,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12446
b3830,0.0432773347,ysgA,putative dienelactone hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",ysgA,"RpoD,Fnr,ppGpp,gcvB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7804
b1440,0.0431501554,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1450,0.041263784500000004,mcbR,DNA-binding transcriptional dual regulator McbR,Transcription,mcbR,YgiV,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6761
b1454,0.040525591900000005,yncG,putative glutathione S-transferase YncG,"Post-translational modification, protein turnover,and chaperones",yncG,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6765
b0865,0.0393611491,ybjP,DUF3828 domain-containing lipoprotein YbjP,Cell wall/membrane/envelope biogenesis,ybjP,"YbaQ,RpoS,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6450
b3268,0.0391596847,yhdW,putative ABC transporter periplasmic binding protein YhdW,No COG annotation,,"NtrC,RpoN,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12834
b2135,0.0389120471,yohC,putative inner membrane protein,Function unknown,yohC,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12016
b1428,0.037850176,ydcK,putative enzyme YdcK,Function unknown,ydcK,"YheO,ppGpp,Lrp,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6741
b2659,0.037401653300000004,csiD,PF08943 family protein CsiD,Energy production and conversion,csiD-lhgO-gabDTP,"RpoS,H-NS,Crp,Lrp,GlaR,Nac,ArcA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7394
b0906,0.0367248889,ycaP,DUF421 domain-containing protein YcaP,Function unknown,ycaP,"YciT,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6469
b1967,0.0362435942,hchA,protein/nucleic acid deglycase 1,"Translation, ribosomal structure and biogenesis",hchA,"RpoD,RpoS,ppGpp,H-NS,ArgR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7055
b1217,0.0361280049,chaB,putative cation transport regulator ChaB,Transcription,chaBC,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12402
b0643,0.035851635300000004,ybeL,DUF1451 domain-containing protein YbeL,"Translation, ribosomal structure and biogenesis",ybeL,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12851
b1725,0.0348767425,yniA,putative kinase YniA,Carbohydrate transport and metabolism,yniA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6930
b4248,0.034469239400000004,yjgH,RutC family protein YjgH,"Translation, ribosomal structure and biogenesis",yjgH,"ppGpp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7879
b0419,0.0343769834,yajO,1-deoxyxylulose-5-phosphate synthase YajO,Energy production and conversion,xseB-ispA-dxs-yajO,"RpoD,YciT,Nac,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6236
b1285,0.032936524700000004,pdeR,cyclic di-GMP phosphodiesterase PdeR,Signal transduction mechanisms,pdeR,"YciT,RutR,RpoS,FliZ",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6639
b4658,0.0325960118,yghX,putative hydrolase fragment,"Secondary metabolites biosynthesis, transport, and catabolism",,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7557
b0803,0.0317468751,ybiI,zinc finger domain-containing protein YbiI,Signal transduction mechanisms,ybiI,"RpoS,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12421
b0837,0.0316402058,yliI,aldose sugar dehydrogenase YliI,Carbohydrate transport and metabolism,yliI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6437
b0304,0.0313743178,rclA,putative pyridine nucleotide-disulfide oxidoreductase RclA,Energy production and conversion,rclABC,"omrA,omrB,RpoE,RclR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6174
b0186,0.0313260135,ldcC,lysine decarboxylase 2,Amino acid transport and metabolism,ldcC,"YfeC,RpoS,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6094
b0773,0.0311445934,ybhB,putative kinase inhibitor,Function unknown,ybhB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11238
b0808,0.0308765215,ybiO,moderate conductance mechanosensitive channel,Cell wall/membrane/envelope biogenesis,ybiO,"YciT,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6417
b3012,0.0303425247,dkgA,methylglyoxal reductase DkgA,Function unknown,yqhD-dkgA,"RpoD,RpoS,YqhC,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7565
b4187,0.0293321157,aidB,putative acyl-CoA dehydrogenase AidB,Lipid transport and metabolism,aidB,"RpoD,YidZ,RpoS,Ada,AidB,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11811
b4182,-0.0354485905,yjfJ,putative transcriptional regulator effector protein,Transcription,nsrR-rnr-rlmB-yjfIJ,YidZ,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7847
b4181,-0.0470092817,yjfI,conserved protein YjfI,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7846
