locus,gene_weight,gene_name,gene_product,cog,regulator,RpoH,link
b3401,0.1104188635762287,hslO,molecular chaperone Hsp33,"Post-translational modification, protein turnover,and chaperones","YciT,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7744
b0631,0.0950347741876664,ybeD,DUF493 domain-containing protein YbeD,Function unknown,"RpoD,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11592
b0016,0.0948669971415837,insL-1,IS186/IS421 transposase,"Replication, recombination and repair",ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6083
b3343,0.0867675917674015,tusB,sulfurtransferase complex subunit TusB,"Translation, ribosomal structure and biogenesis",,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7712
b0582,0.0809266701018387,insL-2,IS186/IS421 transposase,"Replication, recombination and repair",ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6327
b3498,0.0786368205566327,prlC,oligopeptidase A,Amino acid transport and metabolism,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11441
b0660,0.0760622703141492,ybeZ,PhoH-like protein,Signal transduction mechanisms,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6363
b2394,0.0760035276297952,insL-3,putative IS186/IS421 transposase,"Replication, recombination and repair",ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7255
b0966,0.0756206705190824,hspQ,heat shock protein%2C hemimethylated DNA-binding protein,Function unknown,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6500
b0439,0.075389552157547,lon,Lon protease,"Post-translational modification, protein turnover,and chaperones","RpoD,RpoE,RpoH,gcvB,GadX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
b3497,0.0726549012569916,rsmJ,16S rRNA m(2)G1516 methyltransferase,"Translation, ribosomal structure and biogenesis",RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12233
b0659,0.07258422381539,ybeY,endoribonuclease YbeY,"Translation, ribosomal structure and biogenesis",RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6362
b3293,0.0633875589082222,yhdN,conserved protein YhdN,Function unknown,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11970
b3292,0.0617753088606751,zntR,DNA-binding transcriptional activator ZntR,Transcription,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11969
b3399,0.0587441218311144,yrfG,purine nucleotidase,Function unknown,"YidZ,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7742
b1779,0.0526890698530429,gapA,glyceraldehyde-3-phosphate dehydrogenase A,Nucleotide transport and metabolism,"RpoD,RpoH,RpoS,Crp,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10367
b1060,0.0509362703108761,bssS,regulator of biofilm formation,Function unknown,"RpoD,RpoH,YhaJ,Lrp,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6557
b1380,0.0501133025316769,ldhA,D-lactate dehydrogenase,Energy production and conversion,"YheO,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G592
b1114,0.0485682015837123,mfd,transcription-repair coupling factor,"Replication, recombination and repair","RpoD,YfeC",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11619
b4171,0.04663676208084,miaA,tRNA dimethylallyltransferase,"Translation, ribosomal structure and biogenesis","RpoD,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10595
b1780,0.0436782179645199,yeaD,putative aldose 1-epimerase YeaD,Carbohydrate transport and metabolism,"RpoH,Cra",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6966
b4063,0.0432292198850706,soxR,DNA-binding transcriptional dual regulator SoxR,Transcription,"RpoD,Fur,Fnr,AcrR,SoxR,Putrescine",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10957
b3179,0.0423470958055226,rlmE,23S rRNA 2'-O-ribose U2552 methyltransferase,"Translation, ribosomal structure and biogenesis","RpoD,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11507
b4034,-0.0499135115681297,malE,maltose ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,"RpoD,YidZ,Fis,CreB,OmpR,Crp,MalT,H-NS,StpA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10554
