locus,gene_weight,gene_name,gene_product,cog,regulator,Phage_1,link
SP5448_06325,0.0464938406,macB_1,macrolide ABC transporter ATP-binding protein,Defense mechanisms,"SPy1285,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1212%22)
SP5448_02650,0.0429407317,glpD,alpha-glycerophosphate oxidase,Energy production and conversion,"CcpA,CcpA_core_M1,CovR,Rgg,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.488%22)
SP5448_02645,0.0420422304,glpK,glycerol kinase,Nucleotide transport and metabolism,"CcpA,CcpA_core_M1,CovR,Rgg,Rgg,RivR_M1",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.487%22)
SP5448_06320,0.039995867500000004,SP5448_06320,membrane protein,Defense mechanisms,"SPy1285,Rgg",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1211%22)
SP5448_02445,0.039737343700000004,SP5448_02445,hypothetical protein,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.448%22)
SP5448_02655,0.0394381839,glpF,glycerol transporter,"Intracellular trafficking, secretion, and vesicular transport","CcpA,CcpA_core_M1,CovR,Srv_M1,Irr_EE_M6",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.489%22)
SP5448_04405,0.039165480600000004,SP5448_04405,prephenate dehydrogenase,"Replication, recombination and repair","CovR,Phage_3",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.828%22)
SP5448_02465,0.0388184636,SP5448_02465,lysin,Function unknown,Phage_1,True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.452%22)
SP5448_07280,0.0371116973,SP5448_07280,Cro/Cl family transcriptional regulator,Transcription,Nra_transition_M49,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1404%22)
SP5448_06315,0.036710918200000005,glpQ,glycerophosphodiester phosphodiesterase,Energy production and conversion,Rgg,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1210%22)
SP5448_04390,0.0364776001,SP5448_04390,XRE family transcriptional regulator,Function unknown,"CovR,Phage_3",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.825%22)
SP5448_03725,-0.037341897400000004,SP5448_03725,hypothetical protein,Function unknown,Phage_2,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.693%22)
SP5448_04545,-0.0386820011,SP5448_04545,hypothetical protein,Function unknown,Phage_3,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.856%22)
SP5448_02390,-0.0447353304,SP5448_02390,hypothetical protein,Function unknown,"CovR,Phage_1",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.437%22)
SP5448_03735,-0.0461677546,SP5448_03735,holin,Function unknown,"CovR,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.695%22)
SP5448_03700,-0.0506579416,SP5448_03700,hypothetical protein,Function unknown,"CovR,CovR,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.688%22)
SP5448_03705,-0.0558576781,SP5448_03705,hypothetical protein,Inorganic ion transport and metabolism,"FasX_15min_M1,FasX_60min_M1,CovR,Srv_M1,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.689%22)
SP5448_03650,-0.0580381404,SP5448_03650,terminase,Function unknown,Phage_2,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.678%22)
SP5448_03715,-0.0585376744,SP5448_03715,hypothetical protein,Function unknown,"CovR,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.691%22)
SP5448_03710,-0.059340221000000005,SP5448_03710,hypothetical protein,Function unknown,"CovR,Irr_LE_M6,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.690%22)
SP5448_03675,-0.0719875704,SP5448_03675,hypothetical protein,Function unknown,Phage_2,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.683%22)
SP5448_03730,-0.07738635840000001,SP5448_03730,hypothetical protein,Function unknown,"CovR,LacD.1_M14,CovR,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.694%22)
SP5448_03720,-0.0843445224,SP5448_03720,hypothetical protein,Function unknown,"CovR,CovR,Nra_exponetional_M49,Nra_stationary_M49,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.692%22)
SP5448_04670,-0.1147445806,yvoA_1,GntR family transcriptional regulator,Transcription,"SPy1285,Rgg,CovR",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.881%22)
SP5448_04665,-0.12021922480000001,skfE,ABC transporter,Defense mechanisms,"SPy1285,Rgg,CovR,Phage_3",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.880%22)
SP5448_04660,-0.1213575095,SP5448_04660,ABC transporter permease,Defense mechanisms,"SPy1285,TrxR_M1,Rgg,Phage_3",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.879%22)
