locus,gene_weight,gene_name,gene_product,cog,regulator,ExsB,link
PA1699,0.1444829105,PA1699,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1699&e1=1&assembly=complete
PA1715,0.14192137100000002,pscB,type III export apparatus protein,"Post-translational modification, protein turnover,and chaperones",ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1715&e1=1&assembly=complete
PA1712,0.14161905460000002,exsB,exoenzyme S synthesis protein ExsB,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1712&e1=1&assembly=complete
PA1717,0.1397995322,pscD,type III export protein PscD,Signal transduction mechanisms,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1717&e1=1&assembly=complete
PA1718,0.1393491494,pscE,type III export protein PscE,No COG annotation,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1718&e1=1&assembly=complete
PA1696,0.13923480700000002,pscO,translocation protein in type III secretion,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1696&e1=1&assembly=complete
PA1694,0.1377578927,pscQ,type III secretion system protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1694&e1=1&assembly=complete
PA2191,0.1338604512,exoY,adenylate cyclase,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2191&e1=1&assembly=complete
PA1695,0.1330873256,pscP,translocation protein in type III secretion,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1695&e1=1&assembly=complete
PA1716,0.1318549018,pscC,type III secretion outer membrane protein PscC,Cell motility,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1716&e1=1&assembly=complete
PA1711,0.1273364769,PA1711,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1711&e1=1&assembly=complete
PA1721,0.126711608,pscH,type III export protein PscH,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1721&e1=1&assembly=complete
PA1720,0.1265499976,pscG,type III export protein PscG,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1720&e1=1&assembly=complete
PA1714,0.125870203,exsD,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1714&e1=1&assembly=complete
PA1710,0.12335622110000001,exsC,exoenzyme S synthesis protein ExsC,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1710&e1=1&assembly=complete
PA1700,0.12274489890000001,PA1700,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1700&e1=1&assembly=complete
PA1702,0.12059169260000001,PA1702,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1702&e1=1&assembly=complete
PA1723,0.1147763046,pscJ,type III export protein PscJ,"Intracellular trafficking, secretion, and vesicular transport",ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1723&e1=1&assembly=complete
PA1722,0.1128449161,pscI,type III export protein PscI,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1722&e1=1&assembly=complete
PA1713,0.11157539100000001,exsA,exoenzyme S transcriptional regulator ExsA,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1713&e1=1&assembly=complete
PA1725,0.1037835713,pscL,type III secretion system protein,Cell motility,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1725&e1=1&assembly=complete
PA1703,0.10337855580000001,pcrD,type III secretory apparatus protein PcrD,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1703&e1=1&assembly=complete
PA1724,0.09462204240000001,pscK,type III export protein PscK,Function unknown,ExsB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1724&e1=1&assembly=complete
PA1690,0.09247977880000001,pscU,translocation protein in type III secretion,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1690&e1=1&assembly=complete
PA1692,0.0732356675,PA1692,translocation protein in type III secretion,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1692&e1=1&assembly=complete
PA1691,0.0703412782,pscT,translocation protein in type III secretion,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1691&e1=1&assembly=complete
