locus,comp,gene_name,product,operon,TF,narL,link
b2208,0.126674996117,napF,ferredoxin-type protein,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, iscR, lrp, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b2202,0.120980448641,napC,"periplasmic nitrate reductase, cytochrome c protein",napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, iscR, lrp, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12060
b2207,0.107424590408,napD,signal peptide-binding chaperone for NapA,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, iscR, lrp, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b2111,0.10097714873199999,yehD,predicted fimbrial-like adhesin protein,yehDCBA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11990
b2197,0.100970247458,ccmE,membrane anchored periplasmic heme chaperone CcmE,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12055
b4070,0.0995847656572,nrfA,formate-dependent nitrite reductase - NrfA subunit,nrfABCDEFG,"arcA, fis, flhD;flhC, fnr, ihf, narL, narP, nsrR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11781
b2201,0.0906684214478,ccmA,ABC complex for formation and release of holoCcmE - ATP binding subunit,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12059
b4073,0.08860437634519999,nrfD,formate-dependent nitrite reductase - NrfD subunit,nrfABCDEFG,"arcA, fis, flhD;flhC, fnr, ihf, narL, narP, nsrR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11947
b4071,0.08805693171430001,nrfB,formate-dependent nitrite reductase - penta-heme cytochrome c,nrfABCDEFG,"arcA, fis, flhD;flhC, fnr, ihf, narL, narP, nsrR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11945
b4072,0.0873780525413,nrfC,"formate-dependent nitrite reductase, 4Fe-4S subunit",nrfABCDEFG,"arcA, fis, flhD;flhC, fnr, ihf, narL, narP, nsrR, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11946
b0895,0.0849125537953,dmsB,"dimethyl sulfoxide reductase, chain B",dmsABC,"fis, fnr, ihf, modE, nac, narL, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10233
b0896,0.08450941703050001,dmsC,"dimethyl sulfoxide reductase, chain C",dmsABC,"fis, fnr, ihf, modE, nac, narL, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10234
b2199,0.08392025004010001,ccmC,ABC complex for formation and release of holoCcmE - membrane subunit CcmC,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12057
b2195,0.0813077493068,dsbE,holocytochrome <I>c</I> synthetase - thiol:disulfide oxidoreductase CcmG,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12053
b4506,0.07656869195299999,ykgO,predicted ribosomal protein,ykgMO,"rpoD, zur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10434
b2196,0.07180360122530001,ccmF,holocytochrome <I>c</I> synthetase - CcmF subunit,napFDAGHBC-ccmABCDEFGH,"flhD;flhC, fnr, modE, nac, narL, narP, rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12054
b3476,-0.0995294890037,nikA,nickel ABC transporter - periplasmic binding protein,nikABCDER,"cra, fnr, narL, nikR, rpoN",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12075
