,gene_name,start,length,operon,gene_product,regulator
proB,proB,1104.0,1104.0,proBA,"Posttranslational modification, protein turnover, chaperones",[]
yfjL,yfjL,1617.0,1617.0,abpAB,Lipid transport and metabolism,[]
pdhR,pdhR,765.0,765.0,pdhR-aceEF-lpd,Nucleotide transport and metabolism,"['cra', 'crp', 'fnr', 'pdhR', 'rpoD', 'rpoS']"
ykgD,ykgD,284.0,284.0,ykgD,Amino acid transport and metabolism,[]
aroL,aroL,525.0,525.0,aroL-yaiA-aroM,Nucleotide transport and metabolism,"['rpoD', 'trpR', 'tyrR']"
ydaQ,ydaQ,216.0,216.0,recET-ralR-ydaC-xisR-intR,Nucleotide transport and metabolism,[]
pykF,pykF,1413.0,1413.0,pykF,Transcription,"['cra', 'rpoD', 'rpoS']"
gsk,gsk,1305.0,1305.0,gsk,Function unknown,['ybaQ']
serC,serC,1089.0,1089.0,serC-aroA,Lipid transport and metabolism,"['crp', 'lrp', 'rpoD', 'yeiE']"
yohC,yohC,588.0,588.0,yohC,Lipid transport and metabolism,[]
sdhC,sdhC,390.0,390.0,sdhCDAB-sucABCD,Energy production and conversion,"['arcA', 'crp', 'fnr', 'fur', 'nac', 'rpoD', 'ydcI']"
smtA,smtA,786.0,786.0,cmoM-mukFEB,Lipid transport and metabolism,"['h-NS', 'rpoD']"
cysB,cysB,975.0,975.0,cysB,Inorganic ion transport and metabolism,"['cysB', 'phoP', 'rpoD']"
csgC,csgC,333.0,333.0,csgBAC,Energy production and conversion,"['cpxR', 'csgD', 'fliZ', 'rpoD', 'rpoS']"
mngR,mngR,723.0,723.0,mngR,Energy production and conversion,"['mngR', 'rpoD']"
amiA,amiA,870.0,870.0,amiA-hemF,Energy production and conversion,"['ihf', 'rpoD']"
aroH,aroH,1047.0,1047.0,aroH,Energy production and conversion,"['rpoD', 'trpR', 'yeiE']"
mviN,mviN,511.0,511.0,mviN,Carbohydrate transport and metabolism,[]
tktA,tktA,1992.0,1992.0,tktA,Function unknown,[]
slp,slp,567.0,567.0,slp-dctR,Inorganic ion transport and metabolism,"['gadE;rcsB', 'gadW', 'gadX', 'h-NS', 'marA', 'rpoD', 'ydeO']"
ycjL,ycjL,258.0,258.0,ycj,Coenzyme transport and metabolism,[]
ycgM,ycgM,660.0,660.0,ycgM,Signal transduction mechanisms,[]
nuoM,nuoM,1530.0,1530.0,nuoABCEFGHIJKLMN,Inorganic ion transport and metabolism,"['arcA', 'cra', 'crp', 'fis', 'fnr', 'ihf', 'narL', 'rpoD']"
rfaD,rfaD,310.0,310.0,rfaD,"Translation, ribosomal structure and biogenesis",[]
ycjX,ycjX,1398.0,1398.0,ycjXF-tyrR,Coenzyme transport and metabolism,"['pgrR', 'rpoH', 'ybiH']"
ycjM,ycjM,1680.0,1680.0,ycjMNOPQRSTUV-ymjB,"Posttranslational modification, protein turnover, chaperones",['crp']
insB_4,insB_4,167.0,167.0,insB_4,Cell wall/membrane/envelope biogenesis,[]
murC,murC,1476.0,1476.0,mraZ-rsmH-ftsLI-murEF-mraY-murD-ftsW-murGC-ddlB-ftsQAZ-lpxC,"Posttranslational modification, protein turnover, chaperones","['lexA', 'mraZ', 'pdhR', 'rpoD']"
yncE,yncE,1062.0,1062.0,yncE,No COG Annotation,"['arcA', 'fur', 'marA']"
ycbR,ycbR,699.0,699.0,ycbR,No COG Annotation,[]
hydN,hydN,528.0,528.0,hydN-hypF,"Translation, ribosomal structure and biogenesis","['fhlA', 'flhD;flhC', 'rpoN']"
mrcB,mrcB,2535.0,2535.0,mrcB,"Replication, recombination and repair",[]
yneJ,yneJ,882.0,882.0,yneJ,"Replication, recombination and repair",[]
ycbB,ycbB,615.0,615.0,ycbB,Carbohydrate transport and metabolism,[]
hycB,hycB,612.0,612.0,hycABCDEFGHI,Carbohydrate transport and metabolism,"['fhlA', 'ihf', 'modE', 'nsrR', 'rpoN']"
fhuA,fhuA,2244.0,2244.0,fhuACDB,Carbohydrate transport and metabolism,"['fur', 'rpoD']"
ydiQ,ydiQ,765.0,765.0,ydiQRST-fadK,Transcription,[]
hemG,hemG,546.0,546.0,pepQ-yigZ-trkH-hemG,Function unknown,['arcA']
cueO,cueO,1551.0,1551.0,cueO,Coenzyme transport and metabolism,['cueR']
rpoH,rpoH,855.0,855.0,rpoH,Inorganic ion transport and metabolism,"['cpxR', 'crp', 'cytR', 'dnaA', 'ihf', 'rpoD', 'rpoE', 'rpoN', 'rpoS']"
b4285,b4285,1041.0,1041.0,b4285,Coenzyme transport and metabolism,[]
cusC,cusC,1374.0,1374.0,cusCFBA,Function unknown,"['cusR', 'hprR', 'phoB', 'rpoD']"
nac,nac,918.0,918.0,nac,No COG Annotation,"['fnr', 'fur', 'nac', 'ntrC', 'rpoN']"
yiaT,yiaT,741.0,741.0,yiaT,Carbohydrate transport and metabolism,[]
wrbA,wrbA,597.0,597.0,wrbA-yccJ,Amino acid transport and metabolism,"['csgD', 'nac', 'rpoS', 'ydcI']"
ybdR,ybdR,1239.0,1239.0,ybdR,Amino acid transport and metabolism,['nac']
yidK,yidK,1716.0,1716.0,yidKJ,Amino acid transport and metabolism,[]
appA,appA,1299.0,1299.0,appCBXA,Amino acid transport and metabolism,"['appY', 'arcA', 'rpoD', 'rpoS', 'ydeO']"
ybeR,ybeR,708.0,708.0,ybeR-djlB,No COG Annotation,[]
rsuA,rsuA,696.0,696.0,rsuA,Transcription,[]
yidR,yidR,1248.0,1248.0,yidR,Amino acid transport and metabolism,[]
phoH,phoH,1065.0,1065.0,phoH,Amino acid transport and metabolism,"['arcA', 'nac', 'phoB', 'rpoD']"
ybeU,ybeU,708.0,708.0,ybeU-djlC,Transcription,[]
yfiC,yfiC,735.0,735.0,yfiC,Function unknown,[]
yidH,yidH,348.0,348.0,yidHGF,Cell wall/membrane/envelope biogenesis,[]
ycjY,ycjY,921.0,921.0,ycjY-ymjDC-mpaA,"Cell cycle control, cell division, chromosome partitioning","['pgrR', 'rpoH']"
ubiF,ubiF,1176.0,1176.0,ubiF,Cell wall/membrane/envelope biogenesis,[]
yagY,yagY,669.0,669.0,ecpRABCDE,Cell wall/membrane/envelope biogenesis,[]
yajG,yajG,579.0,579.0,yajG-ampG,Cell wall/membrane/envelope biogenesis,['rpoD']
fepA,fepA,2241.0,2241.0,fepA-entD,Cell wall/membrane/envelope biogenesis,"['crp', 'fur', 'rpoD']"
ybhE,ybhE,993.0,993.0,ybhE,Cell wall/membrane/envelope biogenesis,[]
yagZ,yagZ,585.0,585.0,yagZ,"Cell cycle control, cell division, chromosome partitioning",[]
mlc,mlc,1221.0,1221.0,mlc-ynfK,Cell wall/membrane/envelope biogenesis,"['crp', 'mlc', 'rpoD', 'rpoH']"
narX,narX,1797.0,1797.0,narXL,Cell wall/membrane/envelope biogenesis,"['fnr', 'modE', 'rpoD']"
ugpB,ugpB,1317.0,1317.0,ugpBAECQ,Cell wall/membrane/envelope biogenesis,"['arcA', 'crp', 'phoB', 'rpoD']"
ykgI,ykgI,66.0,66.0,YhcN,Cell wall/membrane/envelope biogenesis,[]
pitB,pitB,1500.0,1500.0,pitB,"Cell cycle control, cell division, chromosome partitioning","['phoB', 'rpoD']"
yciI,yciI,297.0,297.0,yciI,"Cell cycle control, cell division, chromosome partitioning",[]
dctA,dctA,1287.0,1287.0,dctA,Cell wall/membrane/envelope biogenesis,"['arcA', 'crp', 'dcuR', 'rpoD']"
b0309,b0309,213.0,213.0,b0309,Transcription,[]
fecA,fecA,2325.0,2325.0,fecABCDE,"Intracellular trafficking, secretion, and vesicular transport","['crp', 'fecI', 'fur', 'hypT', 'pdhR']"
uxaC,uxaC,1413.0,1413.0,uxaCA,"Replication, recombination and repair","['arcA', 'crp', 'exuR', 'fnr', 'rpoD']"
dppA,dppA,1608.0,1608.0,dppABCDF,Function unknown,"['arcA', 'fnr', 'ihf', 'lrp', 'nac', 'rpoD']"
yafK,yafK,741.0,741.0,yafK,Function unknown,[]
ychM,ychM,559.0,559.0,ychM,Coenzyme transport and metabolism,[]
ppiA,ppiA,573.0,573.0,ppiA,Nucleotide transport and metabolism,"['cpxR', 'crp', 'cytR', 'rpoD']"
alsB,alsB,936.0,936.0,alsRBACE,"Intracellular trafficking, secretion, and vesicular transport","['alsR', 'rpoD']"
mutT,mutT,390.0,390.0,secMA-mutT,"Intracellular trafficking, secretion, and vesicular transport",[]
xasA,xasA,511.0,511.0,xasA,"Intracellular trafficking, secretion, and vesicular transport",[]
shiA,shiA,1317.0,1317.0,shiA,Coenzyme transport and metabolism,"['nac', 'rpoD']"
dcuA,dcuA,1302.0,1302.0,aspA-dcuA,Cell wall/membrane/envelope biogenesis,"['arcA', 'crp', 'fnr', 'lrp', 'narL', 'rpoD']"
dinB,dinB,1056.0,1056.0,dinB-yafNOP,Defense mechanisms,"['lexA', 'rpoD', 'rpoS']"
chbA,chbA,351.0,351.0,chbBCARFG,Amino acid transport and metabolism,"['chbR', 'crp', 'nagC']"
yncG,yncG,618.0,618.0,yncG,Transcription,['nac']
ybfG,ybfG,651.0,651.0,ybfHG,Energy production and conversion,['rpoE']
brnQ,brnQ,1320.0,1320.0,brnQ-proY,Energy production and conversion,['lrp']
b1997,insC3,366.0,366.0,insCD-3C-3D-3,Energy production and conversion,[]
glpA,glpA,1629.0,1629.0,glpABC,Function unknown,"['arcA', 'crp', 'fis', 'flhD;flhC', 'fnr', 'glpR', 'rpoD']"
cvpA,cvpA,489.0,489.0,cvpA-purF-ubiX,Energy production and conversion,"['argR', 'purR', 'rpoD']"
ftsK,ftsK,3990.0,3990.0,ftsK,Function unknown,"['lexA', 'rpoD']"
mtr,mtr,1245.0,1245.0,mtr,Amino acid transport and metabolism,"['hU', 'ihf', 'lrp', 'rpoD', 'trpR', 'tyrR']"
fadL,fadL,1341.0,1341.0,fadL,Amino acid transport and metabolism,"['arcA', 'crp', 'fadR', 'fnr', 'ompR', 'phoP', 'rpoS', 'ybiH']"
ybiJ,ybiJ,261.0,261.0,ybiJ,Function unknown,['lrp']
ydgL,ydgL,460.0,460.0,ydgL,"Secondary metabolites biosynthesis, transport and catabolism",[]
cadB,cadB,1335.0,1335.0,cadBA,Carbohydrate transport and metabolism,"['arcA', 'cadC', 'gadE;rcsB', 'gadX', 'h-NS', 'lrp', 'rpoD']"
nupC,nupC,1203.0,1203.0,nupC,Nucleotide transport and metabolism,"['arcA', 'crp', 'cytR', 'nac', 'rpoD']"
nmpC,nmpC,1040.0,1040.0,nmpC,Inorganic ion transport and metabolism,[]
sodB,sodB,582.0,582.0,sodB,Defense mechanisms,"['crp', 'ihf', 'nsrR', 'rpoD']"
treB,treB,1422.0,1422.0,treBC,Defense mechanisms,"['arcA', 'cra', 'crp', 'rpoD', 'treR', 'ybiH']"
yqeG,yqeG,1230.0,1230.0,yqeG,Carbohydrate transport and metabolism,[]
ybiU,ybiU,1266.0,1266.0,ybiU,Carbohydrate transport and metabolism,['arcA']
rpoD,rpoD,1842.0,1842.0,rpsU-dnaG-rpoD,Coenzyme transport and metabolism,"['arcA', 'lexA', 'rpoD', 'rpoE', 'rpoH']"
fimD,fimD,2637.0,2637.0,fimAICDFGH,Function unknown,"['h-NS', 'ihf', 'lrp', 'rpoD']"
fdhF,fdhF,2148.0,2148.0,fdhF,Coenzyme transport and metabolism,"['fhlA', 'fnr', 'narL', 'narP', 'rpoN', 'yeiE']"
ompG,ompG,906.0,906.0,ompG,Coenzyme transport and metabolism,['crp']
yeaU,yeaU,361.0,361.0,yeaU,"Intracellular trafficking, secretion, and vesicular transport",[]
mntR,mntR,468.0,468.0,mntR-ybiR,Function unknown,[]
nudE,nudE,561.0,561.0,nudE,Function unknown,['arcA']
lpp,lpp,237.0,237.0,lpp,Function unknown,[]
yedX,yedX,414.0,414.0,yedX,Cell wall/membrane/envelope biogenesis,[]
yliI,yliI,1116.0,1116.0,yliI,"Posttranslational modification, protein turnover, chaperones",[]
yhhM,yhhM,360.0,360.0,yhhM,No COG Annotation,['yddM']
rcsA,rcsA,624.0,624.0,rcsA,Coenzyme transport and metabolism,"['gadE', 'h-NS', 'rcsA;rcsB', 'rpoD']"
ypdA,ypdA,1698.0,1698.0,ypdABC,"Translation, ribosomal structure and biogenesis","['arcA', 'nac']"
ybjN,ybjN,477.0,477.0,ybjC-nfsA-rimK-ybjN,"Translation, ribosomal structure and biogenesis","['marA', 'oxyR', 'rob', 'rpoD', 'soxS']"
sirA,sirA,444.0,444.0,sirA,Signal transduction mechanisms,[]
agn43,agn43,2106.0,2106.0,agn43,Function unknown,[]
yjiT,yjiT,1518.0,1518.0,yjiT,"Translation, ribosomal structure and biogenesis","['fur', 'rpoH', 'yafC']"
folA,folA,480.0,480.0,folA,"Replication, recombination and repair","['ihf', 'rpoD', 'tyrR']"
norR,norR,1515.0,1515.0,norR,Cell wall/membrane/envelope biogenesis,"['norR', 'nsrR']"
mltC,mltC,1080.0,1080.0,mutY-yggX-mltC-nupG,Inorganic ion transport and metabolism,[]
citT,citT,1464.0,1464.0,citT,Inorganic ion transport and metabolism,[]
hemH,hemH,963.0,963.0,hemH,Inorganic ion transport and metabolism,"['oxyR', 'rpoD', 'yeiE']"
ygbI,ygbI,768.0,768.0,ygbI,Inorganic ion transport and metabolism,[]
yidC,yidC,1647.0,1647.0,yidC,Coenzyme transport and metabolism,['ybaQ']
galE,galE,1017.0,1017.0,galETKM,Inorganic ion transport and metabolism,"['crp', 'galR', 'galS', 'h-NS', 'hU', 'rpoD', 'rpoS']"
dusC,dusC,948.0,948.0,dusC,Function unknown,['yieP']
ssuE,ssuE,576.0,576.0,ssuEADCB,Function unknown,"['cbl', 'cra', 'cysB', 'fnr', 'ihf', 'rpoD']"
purM,purM,1038.0,1038.0,purMN,Inorganic ion transport and metabolism,"['fnr', 'lrp', 'purR', 'rpoD']"
hisL,hisL,51.0,51.0,hisLGDCBHAFI,Nucleotide transport and metabolism,['argR']
yeiE,yeiE,882.0,882.0,yeiE,Nucleotide transport and metabolism,['yeiE']
leuS,leuS,2583.0,2583.0,leuS-lptE-holA-nadD-cobC,"Posttranslational modification, protein turnover, chaperones",['nac']
ygiH,ygiH,615.0,615.0,ygiH,Transcription,[]
cysK,cysK,972.0,972.0,cysK,Function unknown,"['cysB', 'rpoD']"
yejO,yejO,2525.0,2525.0,yejO,Function unknown,[]
rluE,rluE,654.0,654.0,rluE-nudJ,Amino acid transport and metabolism,['arcA']
udp,udp,762.0,762.0,udp,"Posttranslational modification, protein turnover, chaperones","['crp', 'cytR', 'rpoD']"
pheL,pheL,48.0,48.0,pheLA,"Translation, ribosomal structure and biogenesis",['rpoD']
elaA,elaA,462.0,462.0,elaA,"Translation, ribosomal structure and biogenesis",[]
alsR,alsR,891.0,891.0,alsRBACE,"Translation, ribosomal structure and biogenesis","['alsR', 'rpoD']"
fxsA,fxsA,477.0,477.0,fxsA,Nucleotide transport and metabolism,['rpoH']
dapF,dapF,825.0,825.0,yifL-dapF-yigA-xerC-yigB,"Translation, ribosomal structure and biogenesis",['rpoD']
ppiB,ppiB,495.0,495.0,ppiB-lpxH,Lipid transport and metabolism,['nac']
maeB,maeB,2280.0,2280.0,maeB,Lipid transport and metabolism,[]
cysQ,cysQ,741.0,741.0,cysQ,Lipid transport and metabolism,"['crp', 'nac']"
tyrB,tyrB,1194.0,1194.0,tyrB,Cell wall/membrane/envelope biogenesis,"['rpoD', 'tyrR']"
ligT,ligT,531.0,531.0,thpR,Cell wall/membrane/envelope biogenesis,[]
frdA,frdA,1809.0,1809.0,frdABCD,Cell wall/membrane/envelope biogenesis,"['dcuR', 'fnr', 'narL', 'rpoD', 'rpoS']"
deoC,deoC,780.0,780.0,deoCABD,Cell wall/membrane/envelope biogenesis,"['crp', 'cytR', 'deoR', 'fis', 'modE', 'rpoD']"
yajB,yajB,579.0,579.0,yajB,Lipid transport and metabolism,[]
ydiY,ydiY,759.0,759.0,ydiY,Cell wall/membrane/envelope biogenesis,[]
metK,metK,1155.0,1155.0,metK,Cell wall/membrane/envelope biogenesis,"['crp', 'fnr', 'gadX', 'lrp', 'metJ', 'rpoD']"
argA,argA,1332.0,1332.0,argA,"Replication, recombination and repair","['argR', 'rpoD']"
ybfF,ybfF,765.0,765.0,ybfF,"Replication, recombination and repair",[]
uvrA,uvrA,2823.0,2823.0,uvrA,Lipid transport and metabolism,"['arcA', 'lexA', 'rpoD']"
ykgM,ykgM,264.0,264.0,ykgMO,Amino acid transport and metabolism,"['rpoD', 'zur']"
lysR,lysR,936.0,936.0,lysR,Amino acid transport and metabolism,"['lysR', 'nac', 'rpoD']"
yccF,yccF,447.0,447.0,yccFS,"Cell cycle control, cell division, chromosome partitioning",['ybaQ']
fruB,fruB,1131.0,1131.0,fruBKA,Transcription,"['cra', 'rpoD']"
ykgC,ykgC,1323.0,1323.0,ykgC,Function unknown,[]
metC,metC,1188.0,1188.0,metC,Function unknown,"['metJ', 'rpoD']"
yecM,yecM,567.0,567.0,yecM-cutC,"Translation, ribosomal structure and biogenesis",[]
nfo,nfo,858.0,858.0,nfo,Cell wall/membrane/envelope biogenesis,"['marA', 'rob', 'rpoD', 'soxS']"
ydiU,ydiU,1437.0,1437.0,ydiU,Function unknown,['iscR']
gloA,gloA,408.0,408.0,nemRA-gloA,"Translation, ribosomal structure and biogenesis","['nemR', 'rpoD', 'rutR']"
ybiV,ybiV,816.0,816.0,ybiV,Function unknown,[]
yfiF,yfiF,1038.0,1038.0,yfiF,Cell wall/membrane/envelope biogenesis,['arcA']
ddlA,ddlA,1095.0,1095.0,ddlA,Inorganic ion transport and metabolism,"['fnr', 'nac', 'ydcI']"
ybdL,ybdL,1161.0,1161.0,ybdL,Inorganic ion transport and metabolism,[]
ybhQ,ybhQ,411.0,411.0,ybhQ,Inorganic ion transport and metabolism,[]
rof,rof,255.0,255.0,yaeP-rof,Amino acid transport and metabolism,['crp']
ybiF,ybiF,885.0,885.0,ybiF,Function unknown,[]
rhlE,rhlE,1365.0,1365.0,rhlE,Transcription,[]
ybiN,ybiN,924.0,924.0,ybiN,Function unknown,[]
qseB,qseB,660.0,660.0,qseBC,"Secondary metabolites biosynthesis, transport and catabolism","['basR', 'qseB', 'rpoD']"
mipA,mipA,747.0,747.0,mipA,Cell wall/membrane/envelope biogenesis,"['ntrC', 'phoB']"
ybjK,ybjK,534.0,534.0,ybjK,Function unknown,[]
sbmA,sbmA,1221.0,1221.0,sbmA-yaiW,"Secondary metabolites biosynthesis, transport and catabolism","['cpxR', 'rpoE']"
zupT,zupT,774.0,774.0,zupT,"Replication, recombination and repair",[]
dsrA,dsrA,1215.0,1215.0,dsrA,"Replication, recombination and repair",[]
yafS,yafS,723.0,723.0,yafS,Function unknown,[]
ybbL,fetA,675.0,675.0,FetAB,No COG Annotation,[]
ecfG,ecfG,618.0,618.0,ecfG,No COG Annotation,[]
rcsC,rcsC,2850.0,2850.0,rcsC,No COG Annotation,['yddM']
dpiB,citA,1659.0,1659.0,dpiBA,Function unknown,[]
kdsB,kdsB,747.0,747.0,ycaR-kdsB,Function unknown,['rpoD']
yqjI,yqjI,624.0,624.0,yqjI,Lipid transport and metabolism,"['fnr', 'yqjI']"
ypeA,ypeA,426.0,426.0,ypeA-yfeZ,Carbohydrate transport and metabolism,[]
ydgH,ydgH,945.0,945.0,ydgH,Function unknown,[]
entS,entS,1251.0,1251.0,entS,Function unknown,"['fur', 'rpoD']"
ybaY,ybaY,573.0,573.0,ybaY,Function unknown,[]
hofM,hofM,780.0,780.0,hofMNOP,"Replication, recombination and repair","['crp', 'rpoS']"
yegE,yegE,3318.0,3318.0,dgcE,Cell wall/membrane/envelope biogenesis,[]
lolC,lolC,1200.0,1200.0,lolCDE,"Replication, recombination and repair","['lrp', 'nac']"
pgpB,pgpB,765.0,765.0,pgpB,No COG Annotation,['rpoD']
b3505,insH11,1017.0,1017.0,insH-11,No COG Annotation,[]
yfeN,yfeN,765.0,765.0,yfeN,"Replication, recombination and repair",['ybaQ']
pepT,pepT,1227.0,1227.0,pepT,"Cell cycle control, cell division, chromosome partitioning",['fnr']
yfdC,yfdC,933.0,933.0,yfdC,"Translation, ribosomal structure and biogenesis",[]
htrL,yibB,858.0,858.0,htrL,Transcription,[]
yqgA,yqgA,708.0,708.0,yqgA,No COG Annotation,[]
znuC,znuC,756.0,756.0,znuCB,No COG Annotation,"['nac', 'oxyR', 'rpoD', 'zur']"
ecfD,yfhL,258.0,258.0,ecfD,Amino acid transport and metabolism,[]
rplT,rplT,357.0,357.0,thrS-infC-rpmI-rplT-pheMST-ihfA,Nucleotide transport and metabolism,"['fnr', 'nac', 'nsrR', 'rpoD']"
yghU,yghU,867.0,867.0,yghU,Function unknown,[]
yfhH,yfhH,849.0,849.0,yfhH,Transcription,[]
yqiJ,yqiJ,630.0,630.0,yqiJK,Transcription,[]
rpmI,rpmI,198.0,198.0,thrS-infC-rpmI-rplT-pheMST-ihfA,Cell wall/membrane/envelope biogenesis,"['nac', 'nsrR', 'rpoD', 'yeiE']"
pldA,pldA,870.0,870.0,pldA,Amino acid transport and metabolism,"['arcA', 'nac', 'rpoD']"
yrbG,yrbG,978.0,978.0,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr,Amino acid transport and metabolism,['rpoD']
dacB,dacB,1434.0,1434.0,dacB,No COG Annotation,[]
rrfG,rrfG,120.0,120.0,rrfG,Function unknown,[]
lacZ,lacZ,3075.0,3075.0,lacZYA,No COG Annotation,"['crp', 'h-NS', 'lacI', 'rpoD']"
yheS,yheS,1914.0,1914.0,yheSTU,Function unknown,[]
ydiV,ydiV,714.0,714.0,ydiV,"Replication, recombination and repair","['nac', 'rpoE', 'sdiA']"
ygfU,uacT,1449.0,1449.0,uacT,Function unknown,[]
ybjH,ybjH,285.0,285.0,ybjH,Function unknown,[]
recN,recN,1662.0,1662.0,recN,Function unknown,"['fur', 'lexA', 'rpoD']"
yeaE,yeaE,855.0,855.0,yeaE,Transcription,"['nsrR', 'ntrC', 'rpoD']"
pitA,pitA,1500.0,1500.0,pitA,No COG Annotation,['fnr']
ymcC,gfcB,645.0,645.0,gfcBCD,No COG Annotation,[]
ilvD,ilvD,1851.0,1851.0,ilvLXG_1G_2MEDA,Function unknown,"['ihf', 'ile-tRNA', 'leu-tRNA', 'lrp', 'rpoD', 'val-tRNA']"
manY,manY,801.0,801.0,manXYZ,Function unknown,"['cra', 'crp', 'mlc', 'nagC', 'rpoD']"
yhfA,yhfA,405.0,405.0,yhfA,Transcription,"['crp', 'rpoD']"
aes,aes,960.0,960.0,aes,No COG Annotation,[]
ygjG,patA,1380.0,1380.0,patA,"Replication, recombination and repair",[]
mrp,mrp,1110.0,1110.0,mrp,No COG Annotation,['rpoD']
msrB,msrB,414.0,414.0,msrB,No COG Annotation,"['arcA', 'cra', 'crp', 'fnr', 'rpoD']"
ycbC,elyC,780.0,780.0,elyC,"Replication, recombination and repair",[]
argG,argG,1344.0,1344.0,argG,Amino acid transport and metabolism,"['arcA', 'argR', 'crp', 'fnr', 'nac', 'rpoD']"
yejK,yejK,1008.0,1008.0,yejK,Amino acid transport and metabolism,[]
yacH,yacH,1854.0,1854.0,yacH,Amino acid transport and metabolism,['arcA']
upp,upp,627.0,627.0,upp-uraA,No COG Annotation,"['fnr', 'lrp', 'rpoD']"
asnA,asnA,993.0,993.0,asnA,"Replication, recombination and repair","['asnC', 'nac', 'rpoD']"
entF,entF,3882.0,3882.0,fes-ybdZ-entF-fepE,"Replication, recombination and repair","['fnr', 'fur', 'h-NS', 'rpoD']"
dps,dps,504.0,504.0,dps,No COG Annotation,"['argR', 'fis', 'h-NS', 'ihf', 'mntR', 'oxyR', 'rpoD', 'rpoS']"
murB,murB,1029.0,1029.0,murB-birA,No COG Annotation,[]
poxB,poxB,1719.0,1719.0,hcp-hcr-poxB-ltaE-ybjT,No COG Annotation,"['cra', 'fnr', 'marA', 'narL', 'narP', 'nsrR', 'oxyR', 'rpoD', 'rpoS', 'soxS']"
acpP,acpP,237.0,237.0,yceD-rpmF-plsX-fabHDG-acpP-fabF,"Replication, recombination and repair","['arcA', 'rpoD']"
torS,torS,2745.0,2745.0,torS,Amino acid transport and metabolism,['ybiH']
uidA,uidA,1812.0,1812.0,uidABC,Amino acid transport and metabolism,"['crp', 'uidR', 'uxuR']"
U66,U66,0.0,0.0,U66,Carbohydrate transport and metabolism,[]
torR,torR,693.0,693.0,torR,Carbohydrate transport and metabolism,"['rpoD', 'torR']"
gatY,gatY,855.0,855.0,gatYZABCD,Transcription,"['arcA', 'crp', 'gatR', 'rpoD']"
pabC,pabC,807.0,807.0,pabC,Amino acid transport and metabolism,['nac']
adhE,adhE,2676.0,2676.0,adhE,No COG Annotation,"['cra', 'fis', 'fnr', 'lrp', 'narL', 'rpoD', 'rpoS']"
yjbB,yjbB,1632.0,1632.0,yjbB,"Replication, recombination and repair",['nac']
galS,galS,1041.0,1041.0,galS,"Replication, recombination and repair","['argR', 'crp', 'galR', 'galS', 'rpoD']"
molR_2,molR_2,822.0,822.0,molR_2,No COG Annotation,[]
b2192,b2192,1017.0,1017.0,insH-8,Function unknown,[]
yjbE,yjbE,243.0,243.0,yjbEFGH,"Replication, recombination and repair","['ihf', 'rcsA;rcsB', 'rpoD']"
yjcH,yjcH,315.0,315.0,acs-yjcH-actP,Function unknown,"['arcA', 'crp', 'fis', 'fnr', 'ihf', 'rpoD', 'rpoS']"
