locus,gene_weight,gene_name,gene_product,cog,regulator,Sfa2,link
PA1668,0.0954559029,PA1668,hypothetical protein,Cell motility,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1668&e1=1&assembly=complete
PA1661,0.0948659929,PA1661,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1661&e1=1&assembly=complete
PA1657,0.09341788820000001,PA1657,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1657&e1=1&assembly=complete
PA1658,0.09304308700000001,PA1658,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1658&e1=1&assembly=complete
PA1669,0.0919324215,PA1669,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1669&e1=1&assembly=complete
PA3488,0.0913633046,PA3488,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3488&e1=1&assembly=complete
PA1664,0.09117616590000001,PA1664,hypothetical protein,No COG annotation,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1664&e1=1&assembly=complete
PA3293,0.0909438437,PA3293,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3293&e1=1&assembly=complete
PA1662,0.09008947140000001,PA1662,ClpA/B-type protease,"Post-translational modification, protein turnover,and chaperones",Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1662&e1=1&assembly=complete
PA3292,0.0900466904,PA3292,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3292&e1=1&assembly=complete
PA1670,0.0868384103,stp1,serine/threonine phosphoprotein phosphatase Stp1,Signal transduction mechanisms,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1670&e1=1&assembly=complete
PA1660,0.0857031188,PA1660,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1660&e1=1&assembly=complete
PA3486,0.0849978063,PA3486,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3486&e1=1&assembly=complete
PA1667,0.08443208840000001,PA1667,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1667&e1=1&assembly=complete
PA1659,0.08420120810000001,PA1659,hypothetical protein,Function unknown,Sfa2,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1659&e1=1&assembly=complete
PA5352,0.07038185820000001,PA5352,hypothetical protein,Function unknown,GlcC,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5352&e1=1&assembly=complete
PA5265,0.0663406391,PA5265,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5265&e1=1&assembly=complete
PA3291,0.0653708774,PA3291,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3291&e1=1&assembly=complete
