locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,AtsR,link
PA3448,0.12293880100000001,PA3448,,ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3448&e1=1&assembly=complete
PA3447,0.11297544300000001,PA3447,,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3447&e1=1&assembly=complete
PA2093,0.111783063,PA2093,,RNA polymerase sigma factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2093&e1=1&assembly=complete
PA2094,0.111782904,PA2094,,transmembrane sensor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2094&e1=1&assembly=complete
PA2308,0.111706651,PA2308,,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2308&e1=1&assembly=complete
PA2086,0.110231005,PA2086,,epoxide hydrolase,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2086&e1=1&assembly=complete
PA2070,0.109193697,PA2070,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2070&e1=1&assembly=complete
PA2085,0.10816650400000001,PA2085,,ring-hydroxylating dioxygenase small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2085&e1=1&assembly=complete
PA2309,0.106394789,PA2309,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2309&e1=1&assembly=complete
PA2091,0.106110171,PA2091,,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2091&e1=1&assembly=complete
PA2089,0.10522537800000001,PA2089,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2089&e1=1&assembly=complete
PA2051,0.10449193300000001,PA2051,,transmembrane sensor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2051&e1=1&assembly=complete
PA2307,0.10402001500000001,PA2307,,ABC transporter permease,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2307&e1=1&assembly=complete
PA2090,0.101988928,PA2090,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2090&e1=1&assembly=complete
PA2088,0.101586643,PA2088,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2088&e1=1&assembly=complete
PA2087,0.099785602,PA2087,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2087&e1=1&assembly=complete
PA2092,0.09464370500000001,PA2092,,major facilitator superfamily transporter,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2092&e1=1&assembly=complete
PA2084,0.09311037400000001,PA2084,,asparagine synthetase,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2084&e1=1&assembly=complete
PA2590,0.092171819,PA2590,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2590&e1=1&assembly=complete
PA2589,0.08940102800000001,PA2589,,hypothetical protein,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2589&e1=1&assembly=complete
PA3449,0.079415784,PA3449,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3449&e1=1&assembly=complete
PA2596,0.078451483,PA2596,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2596&e1=1&assembly=complete
PA2595,0.07844466700000001,PA2595,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2595&e1=1&assembly=complete
PA2050,0.078426826,PA2050,,RNA polymerase sigma factor,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2050&e1=1&assembly=complete
PA2336,0.078213856,PA2336,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2336&e1=1&assembly=complete
PA2057,0.07676242800000001,PA2057,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2057&e1=1&assembly=complete
PA2310,0.069815153,PA2310,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2310&e1=1&assembly=complete
PA4191,0.06559452,PA4191,,iron/ascorbate oxidoreductase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4191&e1=1&assembly=complete
PA2358,0.0644955,PA2358,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2358&e1=1&assembly=complete
PA2058,0.063968746,PA2058,,ABC transporter,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2058&e1=1&assembly=complete
PA0187,0.061560541,PA0187,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0187&e1=1&assembly=complete
PA2335,0.061138644000000006,PA2335,,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2335&e1=1&assembly=complete
PA2598,0.060890858000000006,PA2598,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2598&e1=1&assembly=complete
PA0291,0.060047764000000003,oprE,,anaerobically-induced outer membrane porin OprE,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0291&e1=1&assembly=complete
PA2597,0.057905062,PA2597,,hypothetical protein,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2597&e1=1&assembly=complete
PA2083,0.057806094,PA2083,,ring-hydroxylating dioxygenase subunit,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2083&e1=1&assembly=complete
PA3933,0.05761291700000001,PA3933,,choline transporter,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3933&e1=1&assembly=complete
PA2599,0.055868182,PA2599,,hypothetical protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2599&e1=1&assembly=complete
PA3932,0.052727247000000005,PA3932,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3932&e1=1&assembly=complete
PA3939,0.05199253,PA3939,,hypothetical protein,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3939&e1=1&assembly=complete
PA2357,0.051641288,msuE,,FMN reductase MsuE,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2357&e1=1&assembly=complete
PA4613,0.050323035,katB,,catalase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4613&e1=1&assembly=complete
PA2603,0.050202652,PA2603,,thiosulfate sulfurtransferase,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2603&e1=1&assembly=complete
PA3935,0.047752204000000006,tauD,,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3935&e1=1&assembly=complete
PA5102,0.047435432,PA5102,,hypothetical protein,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5102&e1=1&assembly=complete
PA2293,0.047162195000000004,PA2293,,hypothetical protein,Energy production and conversion,PA2299,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2293&e1=1&assembly=complete
PA2060,0.044552297000000005,PA2060,,ABC transporter permease,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2060&e1=1&assembly=complete
PA0730,0.043985344,PA0730,,(R)-3-hydroxydecanoyl-ACP:CoA transacylase,Lipid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0730&e1=1&assembly=complete
PA2059,0.043219288,PA2059,,ABC transporter permease,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2059&e1=1&assembly=complete
PA0848,0.043201518,PA0848,,alkyl hydroperoxide reductase,"Post-translational modification, protein turnover,and chaperones",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0848&e1=1&assembly=complete
PA0849,0.042712687000000006,trxB2,,thioredoxin reductase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0849&e1=1&assembly=complete
PA2326,0.042359088,PA2326,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2326&e1=1&assembly=complete
PA3287,0.041370365,PA3287,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3287&e1=1&assembly=complete
PA4443,-0.04283514,cysD,,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4443&e1=1&assembly=complete
PA5024,-0.049150773,PA5024,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5024&e1=1&assembly=complete
