locus,gene_weight,gene_name,gene_product,cog,regulator,GlcC,MexS,link
PA2297,0.0513091815,PA2297,ferredoxin,Energy production and conversion,PA2299,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2297&e1=1&assembly=complete
PA1332,0.0511117655,PA1332,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1332&e1=1&assembly=complete
PA2565,-0.051076164,PA2565,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2565&e1=1&assembly=complete
PA1914,-0.0515637467,PA1914,hypothetical protein,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1914&e1=1&assembly=complete
PA3724,-0.0523473694,lasB,elastase LasB,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3724&e1=1&assembly=complete
PA4384,-0.052802381,PA4384,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4384&e1=1&assembly=complete
PA5351,-0.0534462572,rubA1,rubredoxin,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5351&e1=1&assembly=complete
PA2788,-0.0543056997,PA2788,chemotaxis transducer,Cell motility,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2788&e1=1&assembly=complete
PA0997,-0.055157398100000005,pqsB,hypothetical protein,Lipid transport and metabolism,MvfR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0997&e1=1&assembly=complete
PA3221,-0.0551933322,csaA,molecular chaperone CsaA,"Translation, ribosomal structure and biogenesis",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3221&e1=1&assembly=complete
PA2563,-0.0559610625,PA2563,sulfate transporter,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2563&e1=1&assembly=complete
PA3734,-0.0562562174,PA3734,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3734&e1=1&assembly=complete
PA3520,-0.0576798618,PA3520,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3520&e1=1&assembly=complete
PA4205,-0.0628736196,mexG,hypothetical protein,Function unknown,SoxR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4205&e1=1&assembly=complete
PA4141,-0.0641961378,PA4141,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4141&e1=1&assembly=complete
PA3479,-0.0796895739,rhlA,rhamnosyltransferase subunit A,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3479&e1=1&assembly=complete
PA0122,-0.082863277,PA0122,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0122&e1=1&assembly=complete
PA5355,-0.09042019250000001,glcD,glycolate oxidase subunit GlcD,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5355&e1=1&assembly=complete
PA3361,-0.0964744892,lecB,fucose-binding lectin PA-IIL,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3361&e1=1&assembly=complete
PA5354,-0.0992468486,glcE,glycolate oxidase FAD binding subunit,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5354&e1=1&assembly=complete
PA5353,-0.1019366184,glcF,glycolate oxidase iron-sulfur subunit,Energy production and conversion,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5353&e1=1&assembly=complete
PA5352,-0.10743317890000001,PA5352,hypothetical protein,Function unknown,GlcC,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5352&e1=1&assembly=complete
PA2570,-0.154590324,lecA,PA-I galactophilic lectin,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2570&e1=1&assembly=complete
