locus,gene_weight,gene_name,gene_product,cog,regulator,Zur,RutR,link
PA4064,0.12866999340000002,PA4064,ABC transporter ATP-binding protein,Defense mechanisms,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4064&e1=1&assembly=complete
PA4066,0.1189756404,PA4066,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4066&e1=1&assembly=complete
PA2912,0.1170744927,PA2912,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2912&e1=1&assembly=complete
PA2911,0.1155324379,PA2911,TonB-dependent receptor,Inorganic ion transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2911&e1=1&assembly=complete
PA5537,0.10352616340000001,PA5537,hypothetical protein,No COG annotation,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5537&e1=1&assembly=complete
PA2913,0.1009715523,PA2913,hypothetical protein,Inorganic ion transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2913&e1=1&assembly=complete
PA4838,0.0865777451,PA4838,hypothetical protein,Function unknown,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4838&e1=1&assembly=complete
PA2914,0.0834335918,PA2914,ABC transporter permease,Inorganic ion transport and metabolism,Cobalamin,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2914&e1=1&assembly=complete
PA4170,0.0732308604,PA4170,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4170&e1=1&assembly=complete
PA1920,0.0633957084,nrdD,anaerobic ribonucleoside triphosphate reductase,Nucleotide transport and metabolism,NrdR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1920&e1=1&assembly=complete
PA2438,0.0607624675,PA2438,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2438&e1=1&assembly=complete
PA2437,0.0589683544,PA2437,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2437&e1=1&assembly=complete
PA2439,0.058644851500000005,PA2439,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2439&e1=1&assembly=complete
PA3598,0.0541312049,PA3598,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3598&e1=1&assembly=complete
PA1927,0.049796513800000004,metE,5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,Amino acid transport and metabolism,MetR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1927&e1=1&assembly=complete
PA1919,0.047475722500000005,nrdG,class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG,"Post-translational modification, protein turnover,and chaperones",NrdR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1919&e1=1&assembly=complete
PA3597,0.0436440965,PA3597,amino acid permease,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3597&e1=1&assembly=complete
PA5500,0.042746968100000005,znuC,zinc transporter ZnuC,Inorganic ion transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5500&e1=1&assembly=complete
PA4062,0.040191268700000005,PA4062,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4062&e1=1&assembly=complete
PA4169,0.038203897800000004,PA4169,hypothetical protein,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4169&e1=1&assembly=complete
PA5498,0.0378788794,PA5498,adhesin,Inorganic ion transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5498&e1=1&assembly=complete
PA4171,0.037674549,PA4171,protease,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4171&e1=1&assembly=complete
PA5499,0.0372621744,zur,transcriptional regulator,Inorganic ion transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5499&e1=1&assembly=complete
PA2910,0.0366014841,PA2910,manganese efflux pump MntP,Inorganic ion transport and metabolism,yybP-ykoY,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2910&e1=1&assembly=complete
PA5501,0.0355908044,znuB,zinc ABC transporter permease,Inorganic ion transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5501&e1=1&assembly=complete
PA2434,0.033857101300000005,PA2434,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2434&e1=1&assembly=complete
PA3602,0.0318263143,PA3602,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3602&e1=1&assembly=complete
PA2435,0.030629241100000003,PA2435,cation-transporting P-type ATPase,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2435&e1=1&assembly=complete
PA1517,0.030487150900000003,PA1517,hypothetical protein,Carbohydrate transport and metabolism,"RutR,PA1520",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1517&e1=1&assembly=complete
PA1926,0.029834885800000002,PA1926,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1926&e1=1&assembly=complete
PA1514,0.0273715707,PA1514,ureidoglycolate hydrolase,Nucleotide transport and metabolism,"RutR,PA1520",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1514&e1=1&assembly=complete
PA1515,0.026859539300000002,alc,allantoicase,Nucleotide transport and metabolism,"RutR,PA1520",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1515&e1=1&assembly=complete
PA1516,0.025860010200000002,PA1516,hypothetical protein,Function unknown,"RutR,PA1520",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1516&e1=1&assembly=complete
