locus,gene_weight,gene_name,gene_product,cog,regulator,PmrA,link
PA4782,0.1412118193,PA4782,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4782&e1=1&assembly=complete
PA4776,0.1249633975,pmrA,two-component regulator system response regulator PmrA,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4776&e1=1&assembly=complete
PA4775,0.1244145027,PA4775,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4775&e1=1&assembly=complete
PA1178,0.1166506618,oprH,PhoP/Q and low Mg2+ inducible outer membrane protein H1,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1178&e1=1&assembly=complete
PA4777,0.1133798008,pmrB,two-component regulator system signal sensor kinase PmrB,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4777&e1=1&assembly=complete
PA1343,0.0928090595,PA1343,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1343&e1=1&assembly=complete
PA4359,0.0920276231,PA4359,ferrous iron transporter A,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4359&e1=1&assembly=complete
PA1179,0.0910014905,phoP,two-component response regulator PhoP,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1179&e1=1&assembly=complete
PA1180,0.08553696820000001,phoQ,two-component sensor PhoQ,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1180&e1=1&assembly=complete
PA4357,0.0779105138,PA4357,hypothetical protein,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4357&e1=1&assembly=complete
