locus,gene_weight,gene_name,gene_product,cog,regulator,rpoH,link
STM3449,0.11080981100000001,yheL,putative oxidation of intracellular sulfur,"Translation, ribosomal structure and biogenesis",,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3449
STM0450,0.1064426336,lon,DNA-binding protein,"Post-translational modification, protein turnover,and chaperones","gadX,rpoD,rpoE,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0450
STM3497,0.1063362664,yrfH,heat shock protein,"Translation, ribosomal structure and biogenesis",rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3497
STM3498,0.1040706134,yrfI,heat shock protein 33,"Post-translational modification, protein turnover,and chaperones",rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3498
STM3594,0.10389373810000001,prlC,oligopeptidase A,Amino acid transport and metabolism,rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3594
STM1079,0.1031413989,yccV,putative inner membrane protein,Function unknown,rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1079
STM0669,0.09477910390000001,phoL,putative phosphate starvation-inducible protein%2C ATP-binding,Signal transduction mechanisms,"nac,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0669
STM0668,0.0925280292,ybeY,putative metal-dependent hydrolase,"Translation, ribosomal structure and biogenesis","nac,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0668
STM3511,0.0894137754,yhgI,putative thioredoxin-like proteins and domain protein,Energy production and conversion,"crp,gntR,iscR,rpoD,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3511
STM1684,0.07935721100000001,ycjF,putative inner membrane protein,Function unknown,"pgrR,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1684
STM4408,0.0786808367,msrA,peptide methionine sulfoxide reductase,"Post-translational modification, protein turnover,and chaperones","fis,nac",False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4408
STM0014,0.0776095296,STM0014,putative LysR family transcriptional regulator,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0014
STM1685,0.07569462440000001,ycjX,putative ATPase,Function unknown,"pgrR,rpoH,ybiH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1685
STM3593,0.07416868630000001,yhiQ,putative SAM-dependent methyltransferase,"Translation, ribosomal structure and biogenesis",rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3593
STM1647,0.0676773444,ldhA,NAD-dependent fermentative D-lactate dehydrogenase,Energy production and conversion,"rpoH,yheO",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1647
STM2866,0.0558107664,sprB,transcriptional regulator,Transcription,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2866
STM3297,0.0546841062,ftsJ,23S rRNA methyltransferase,"Translation, ribosomal structure and biogenesis","rpoD,rpoH",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM3297
STM0666,0.0542363031,lnt,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,rpoH,True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM0666
