locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,XylR,link
SACI_RS09825,0.06426055238272052,glpA_2,Saci_2032,FAD-dependent oxidoreductase,Energy production and conversion,Op1210,,False,https://www.uniprot.org/uniprot/A0A0U3H4L7
SACI_RS01760,0.06384994184307324,Saci_0360,Saci_0360,hypothetical protein,General Function Prediction Only,Op202,,False,https://www.uniprot.org/uniprot/M1ISI4
SACI_RS08970,0.061715374938074025,Saci_1866,Saci_1866,hypothetical protein,No arCOG annotation,Op1083,,False,https://www.uniprot.org/uniprot/A0A0U2WVB9
SACI_RS09830,0.061693502816221435,glpK2,Saci_2033,glycerol kinase GlpK,Energy production and conversion,Op1211,,False,https://www.uniprot.org/uniprot/M1IFR6
SACI_RS05015,0.0615161103797585,parA,Saci_1050,"ParA, chromosome-partioning ATPase, AAA family ATPase","Cell cycle control, cell division, chromosome partitioning",Op554,BarR,False,https://www.uniprot.org/uniprot/A0A0U2W2Y0
SACI_RS03215,0.061064535614155674,abaF_1,Saci_0675,MFS transporter,Carbohydrate transport and metabolism,Op361,,False,https://www.uniprot.org/uniprot/A0A0U3FWX6
SACI_RS01495,0.06034830970630632,acsA_1,Saci_0306,acetate--CoA ligase,Lipid transport and metabolism,Op173,,False,https://www.uniprot.org/uniprot/A0A0U3HAP5
SACI_RS10260,0.059796315258573436,xylF,Saci_2122,D-xylose / (L-/D-)arabinose substrate-binding protein (pentose ABC transporter),Carbohydrate transport and metabolism,Op1267,XylR,True,https://www.uniprot.org/uniprot/A0A0U2WUN9
SACI_RS07620,-0.06595663589569906,pyrE,Saci_1597,orotate phosphoribosyltransferase,Nucleotide transport and metabolism,Op879,,False,https://www.uniprot.org/uniprot/A0A0U3FT43
SACI_RS10515,-0.06607949117880227,Saci_2175,Saci_2175,hypothetical protein,No arCOG annotation,Op1312,,False,https://www.uniprot.org/uniprot/A0A0U3H4S7
SACI_RS11610,-0.07047417977742458,Saci_0873,Saci_0873,YHS domain-containing protein,Function Unknown,Op459,,False,https://www.uniprot.org/uniprot/M1ITZ6
SACI_RS10115,-0.07097011935789309,mntH_2,Saci_2094,divalent metal cation transporter,Inorganic ion transport and metabolism,Op1247,,False,https://www.uniprot.org/uniprot/A0A0U2NGZ4
SACI_RS01505,-0.07122055090330459,Saci_0308,Saci_0308,biotin attachment protein,Energy production and conversion,Op175,,False,https://www.uniprot.org/uniprot/A0A0U2VW51
SACI_RS10600,-0.07404539174435383,Saci_2193,Saci_2193,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,Transcription,Op1325,,False,https://www.uniprot.org/uniprot/A0A0U3H4Q9
SACI_RS10120,-0.07617339797429135,xylE_2,Saci_2095,MFS transporter,Carbohydrate transport and metabolism,Op1248,,False,https://www.uniprot.org/uniprot/A0A0U3GM32
SACI_RS11555,-0.09067781280277737,SACI_RS11555,,putative integrase,No arCOG annotation,Op336,,False,https://www.uniprot.org/uniprot/UPI0011BFB8BC
SACI_RS01585,-0.09300653321079808,Saci_0324,Saci_0324,sulfite exporter TauE/SafE family protein,General Function Prediction Only,Op186,,False,https://www.uniprot.org/uniprot/A0A0U2VW32
SACI_RS10110,-0.10001246867867714,Saci_2093,Saci_2093,hypothetical protein,Function Unknown,Op1246,,False,https://www.uniprot.org/uniprot/UPI0002B28B76
SACI_RS05570,-0.10499544565052256,trxB_2,Saci_1169,thioredoxin-disulfide reductase (FAD-dependent),"Posttranslational modification, protein turnover, chaperones",Op644,,False,https://www.uniprot.org/uniprot/A0A0U3HCT4
SACI_RS08740,-0.1356099614602251,trxA,Saci_1823,"thioredoxin, ROS-related","Posttranslational modification, protein turnover, chaperones",Op1045,biofilm,False,https://www.uniprot.org/uniprot/A0A0U3FA79
