,gene_name,old_locus_tag,start,end,strand,gene_product,cog,uniprot,regulator
PA0040,PA0040,,41113,42801,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9I792,
PA0041,PA0041,,42914,53521,+,hemagglutinin,"Intracellular trafficking, secretion, and vesicular transport",Q9I791,
PA0041a,PA0041a,,54121,54822,+,transposase,"Replication, recombination and repair",UPI00024E1073,
PA0042,PA0042,,56546,56941,+,hypothetical protein,No COG annotation,Q9I790,
PA0043,PA0043,,57212,58594,-,hypothetical protein,Function unknown,Q9I789,
PA0044,exoT,,58786,60159,+,exoenzyme T,Function unknown,Q9I788,
PA0045,PA0045,,60656,61342,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I787,
PA0046,PA0046,,61373,61726,+,hypothetical protein,Function unknown,Q9I786,
PA0047,PA0047,,61879,62388,+,hypothetical protein,Function unknown,Q9I785,
PA0048,PA0048,,62403,62786,-,transcriptional regulator,Transcription,Q9I784,
PA0049,PA0049,,63068,64729,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I783,
PA0050,PA0050,,65339,65479,+,hypothetical protein,No COG annotation,Q9I782,
PA0051,phzH,,66303,68135,+,phenazine-modifying protein,Amino acid transport and metabolism,Q9I781,
PA0052,PA0052,,68188,68616,-,hypothetical protein,"Replication, recombination and repair",Q9I780,
PA0054,PA0054,,69543,70091,-,RNA 2'-phosphotransferase-like protein,"Translation, ribosomal structure and biogenesis",Q9I778,
PA0055,PA0055,,70130,70636,-,hypothetical protein,Function unknown,Q9I777,
PA0056,PA0056,,70702,71622,-,transcriptional regulator,Transcription,Q9I776,
PA0057,PA0057,,71730,72617,+,hypothetical protein,Function unknown,Q9I775,
PA0058,PA0058,,72680,73384,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I774,
PA0059,osmC,,73468,73923,+,osmotically inducible protein OsmC,"Post-translational modification, protein turnover,and chaperones",Q9I773,
PA0060,PA0060,,74034,74267,+,hypothetical protein,Function unknown,Q9I772,
PA0061,PA0061,,74279,74716,-,hypothetical protein,No COG annotation,Q9I771,
PA0062,PA0062,,74773,75189,-,hypothetical protein,No COG annotation,Q9I770,
PA0063,PA0063,,75281,76408,+,hypothetical protein,Function unknown,Q9I769,
PA0064,PA0064,,76416,77399,-,hypothetical protein,No COG annotation,Q9I768,
PA0065,PA0065,,77432,78097,-,5'-nucleotidase,Function unknown,Q9I767,
PA0066,PA0066,,78090,78632,-,hypothetical protein,Function unknown,Q9I766,
PA0067,prlC,,78710,80755,+,oligopeptidase A,Amino acid transport and metabolism,Q9I765,
PA0068,PA0068,,80752,81027,+,hypothetical protein,Function unknown,Q9I764,
PA0069,PA0069,,81116,82174,+,hypothetical protein,"Replication, recombination and repair",Q9I763,LexA
PA0070,PA0070,,82404,83318,-,hypothetical protein,Function unknown,Q9I762,TagR1
PA0071,tagR1,,83380,85092,-,hypothetical protein,Function unknown,Q9I761,TagR1
PA0072,PA0072,,85085,86284,-,hypothetical protein,Defense mechanisms,Q9I760,TagR1
PA0073,PA0073,,86284,87003,-,ABC transporter ATP-binding protein,Defense mechanisms,Q9I759,TagR1
PA0074,ppkA,,87000,90098,-,serine/threonine protein kinase PpkA,Transcription,Q9I758,"TagR1,TagR1"
PA0075,pppA,,90106,90834,-,serine/threonine phosphatase,Signal transduction mechanisms,Q9I757,"TagR1,TagR1"
PA0076,PA0076,,90844,91524,-,hypothetical protein,Function unknown,Q9I756,TagR1
PA0077,icmF1,,91521,94826,-,type VI secretion protein IcmF,Function unknown,Q9I755,TagR1
PA0078,PA0078,,95048,96397,-,hypothetical protein,Cell motility,Q9I754,TagR1
PA0079,PA0079,,96404,97738,-,hypothetical protein,Function unknown,Q9I753,TagR1
PA0080,PA0080,,97754,98218,-,hypothetical protein,Function unknown,Q9I752,TagR1
PA0081,fha1,,98263,99756,-,Fha domain-containing protein,Signal transduction mechanisms,Q9I751,TagR1
PA0082,PA0082,,100124,101158,+,hypothetical protein,Function unknown,Q9I750,TagR1
PA0083,PA0083,,101247,101765,+,hypothetical protein,Function unknown,Q9I749,TagR1
PA0084,PA0084,,101778,103274,+,hypothetical protein,Function unknown,Q9I748,TagR1
PA0085,hcp1,,103350,103838,+,protein secretion apparatus assembly protein,Function unknown,Q9I747,TagR1
PA0086,PA0086,,104006,104851,+,hypothetical protein,Function unknown,Q9I746,TagR1
PA0087,PA0087,,104853,105362,+,hypothetical protein,Function unknown,Q9I745,TagR1
PA0088,PA0088,,105359,107218,+,hypothetical protein,Function unknown,Q9I744,TagR1
PA0089,PA0089,,107182,108228,+,hypothetical protein,Function unknown,Q9I743,TagR1
PA0090,clpV1,,108221,110929,+,secretion protein ClpV1,"Post-translational modification, protein turnover,and chaperones",Q9I742,TagR1
PA0091,vgrG1,,110976,112907,+,type VI secretion system protein VgrG,Function unknown,Q9I741,TagR1
PA0092,PA0092,,113022,113306,-,hypothetical protein,No COG annotation,Q9I740,
PA0093,PA0093,,113303,114595,-,hypothetical protein,Function unknown,Q9I739,
PA0094,PA0094,,114611,115045,-,hypothetical protein,Function unknown,Q9I738,
PA0095,PA0095,,115299,117524,+,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",Q9I737,
PA0096,PA0096,,117552,118001,+,hypothetical protein,No COG annotation,Q9I736,
PA0097,PA0097,,117931,119130,+,hypothetical protein,Function unknown,Q9I735,
PA0098,PA0098,,119127,120164,+,3-oxoacyl-ACP synthase,Cell wall/membrane/envelope biogenesis,Q9I734,
PA0099,PA0099,,120164,121324,+,hypothetical protein,Transcription,Q9I733,
PA0100,PA0100,,121346,122266,+,hypothetical protein,Function unknown,Q9I732,
PA0101,PA0101,,122248,123495,+,hypothetical protein,Energy production and conversion,Q9I731,
PA0102,PA0102,,123871,124599,+,carbonic anhydrase,Inorganic ion transport and metabolism,Q9I730,
PA0103,PA0103,,124810,126381,+,sulfate transporter,Inorganic ion transport and metabolism,Q9I729,
PA0103a,PA0103a,,126368,127006,-,hypothetical protein,No COG annotation,UPI00024E0FDD,
PA0105,coxB,,127378,128502,+,cytochrome C oxidase subunit II,Energy production and conversion,Q9I727,"RoxR,RpoS,RpoS"
PA0106,coxA,,128512,130104,+,cytochrome C oxidase subunit I,Energy production and conversion,Q9I726,"RoxR,RpoS,RpoS"
PA0107,PA0107,,130115,130669,+,cytochrome C oxidase assembly protein,"Post-translational modification, protein turnover,and chaperones",Q9I725,RpoS
PA0108,coIII,,130680,131567,+,cytochrome C oxidase subunit III,Energy production and conversion,Q9I724,"RoxR,RpoS,RpoS"
PA0109,PA0109,,131583,131792,-,hypothetical protein,Function unknown,Q9I723,
PA0110,PA0110,,131808,132602,+,hypothetical protein,Function unknown,Q9I722,
PA0111,PA0111,,132577,133155,+,hypothetical protein,Function unknown,Q9I721,
PA0112,PA0112,,133220,134293,+,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I720,
PA0113,PA0113,,134319,135233,+,protoheme IX farnesyltransferase,"Post-translational modification, protein turnover,and chaperones",Q9I719,
PA0114,senC,,135259,135894,+,cytochrome c oxidase assembly protein SenC,Function unknown,Q9I718,
PA0115,PA0115,,135934,136386,-,hypothetical protein,Function unknown,Q9I717,
PA0116,PA0116,,136518,136991,+,hypothetical protein,Transcription,Q9I716,
PA0117,PA0117,,137248,137976,+,short-chain dehydrogenase,Lipid transport and metabolism,Q9I715,
PA0118,PA0118,,138001,138588,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I714,
PA0119,PA0119,,138818,140167,+,C4-dicarboxylate transporter DctA,Energy production and conversion,Q9I713,UreR
PA0120,PA0120,,140216,140902,+,transcriptional regulator,Transcription,Q9I712,UreR
PA0121,PA0121,,141003,141737,+,hypothetical protein,Transcription,Q9I711,
PA0122,PA0122,,141917,142327,+,hypothetical protein,Function unknown,Q9I710,
PA0123,PA0123,,142359,143267,-,transcriptional regulator,Transcription,Q9I709,
PA0124,PA0124,,143567,143848,-,hypothetical protein,Function unknown,Q9I708,
PA0125,PA0125,,143845,144072,-,hypothetical protein,Transcription,Q9I707,
PA0126,PA0126,,144248,144868,-,hypothetical protein,No COG annotation,Q9I706,
PA0127,PA0127,,144969,145469,+,hypothetical protein,Function unknown,Q9I705,
PA0128,PA0128,,145542,145883,+,hypothetical protein,Inorganic ion transport and metabolism,Q9I704,
PA0129,gabP,,145965,147392,-,gamma-aminobutyrate permease,Amino acid transport and metabolism,Q9I703,
PA0130,PA0130,,147561,149054,-,3-oxopropanoate dehydrogenase,Energy production and conversion,Q9I702,
PA0131,PA0131,,149138,149425,-,beta-alanine degradation protein BauB,Function unknown,Q9I701,
PA0132,PA0132,,149425,150771,-,beta alanine--pyruvate transaminase,Amino acid transport and metabolism,Q9I700,
PA0133,PA0133,,150906,151823,+,HTH-type transcriptional activator BauR,Transcription,Q9I6Z9,
PA0134,PA0134,,151936,153306,-,guanine deaminase,Nucleotide transport and metabolism,Q9I6Z8,
PA0135,PA0135,,153696,153836,+,hypothetical protein,No COG annotation,Q9I6Z7,
PA0136,PA0136,,154417,155988,+,ABC transporter ATP-binding protein,Function unknown,Q9I6Z6,RutR
PA0137,PA0137,,155988,157085,+,ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",Q9I6Z5,RutR
PA0138,PA0138,,157108,158034,+,ABC transporter permease,"Intracellular trafficking, secretion, and vesicular transport",Q9I6Z4,RutR
PA0139,ahpC,,158199,158762,+,alkyl hydroperoxide reductase,"Post-translational modification, protein turnover,and chaperones",Q9I6Z3,
PA0140,ahpF,,158907,160472,+,alkyl hydroperoxide reductase,"Post-translational modification, protein turnover,and chaperones",Q9I6Z2,
PA0141,PA0141,,160552,161448,-,hypothetical protein,Function unknown,Q9I6Z1,
PA0142,PA0142,,161906,163255,+,8-oxoguanine deaminase,Nucleotide transport and metabolism,Q9I6Z0,
PA0143,nuh,,163363,164415,+,nonspecific ribonucleoside hydrolase,Carbohydrate transport and metabolism,Q9I6Y9,
PA0144,PA0144,,164443,165069,-,hypothetical protein,Nucleotide transport and metabolism,Q9I6Y8,
PA0145,PA0145,,165219,165737,-,hypothetical protein,Nucleotide transport and metabolism,Q9I6Y7,
PA0146,PA0146,,165976,167073,+,hypothetical protein,Function unknown,Q9I6Y6,
PA0147,PA0147,,167146,168108,+,oxidoreductase,Energy production and conversion,Q9I6Y5,
PA0148,PA0148,,168213,169163,+,adenosine deaminase,Nucleotide transport and metabolism,Q9I6Y4,
PA0149,PA0149,,169361,169906,+,ECF subfamily sigma-70 factor,Transcription,Q9I6Y3,
PA0150,PA0150,,169903,170898,+,transmembrane sensor,Inorganic ion transport and metabolism,Q9I6Y2,
PA0151,PA0151,,171047,173434,+,TonB-dependent receptor,Inorganic ion transport and metabolism,Q9I6Y1,
PA0152,pcaQ,,173811,174638,+,transcriptional regulator PcaQ,Transcription,Q9I6Y0,
PA0153,pcaH,,174773,175492,+,protocatechuate 3%2C4-dioxygenase subunit beta,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I6X9,
PA0154,pcaG,,175503,176108,+,protocatechuate 3%2C4-dioxygenase subunit alpha,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I6X8,
PA0155,pcaR,,176315,177154,+,transcriptional regulator PcaR,Transcription,Q9I6X7,
PA0156,PA0156,,177307,178458,+,resistance-nodulation-cell division (RND) efflux membrane fusion protein,"Cell cycle control, cell division, chromosome partitioning",Q9I6X6,
PA0157,PA0157,,178455,179525,+,resistance-nodulation-cell division (RND) efflux membrane fusion protein,Cell wall/membrane/envelope biogenesis,Q9I6X5,
PA0158,PA0158,,179522,182569,+,resistance-nodulation-cell division (RND) efflux transporter,Defense mechanisms,Q9I6X4,
PA0159,PA0159,,182768,183706,+,transcriptional regulator,Transcription,Q9I6X3,
PA0160,PA0160,,183822,184007,+,hypothetical protein,No COG annotation,Q9I6X2,
PA0162,opdC,,184594,185928,+,histidine porin OpdC,Cell wall/membrane/envelope biogenesis,Q9I6X0,
PA0163,PA0163,,185957,186754,-,transcriptional regulator,Transcription,Q9I6W9,
PA0164,PA0164,,186832,188448,+,gamma-glutamyltranspeptidase,Amino acid transport and metabolism,Q9I6W8,
PA0165,PA0165,,189120,189956,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I6W7,"RutR,PA1520"
PA0166,PA0166,,190198,191604,+,transporter,Nucleotide transport and metabolism,Q9I6W6,RutR
PA0167,PA0167,,191697,192362,+,transcriptional regulator,Transcription,Q9I6W5,RutR
PA0168,PA0168,,192368,192958,+,hypothetical protein,Function unknown,Q9I6W4,RutR
PA0169,PA0169,,192965,193672,-,hypothetical protein,Signal transduction mechanisms,Q9I6W3,
PA0170,PA0170,,193799,194179,-,hypothetical protein,Function unknown,Q9I6W2,
PA0171,PA0171,,194206,194748,-,hypothetical protein,No COG annotation,Q9I6W1,
PA0172,PA0172,,194757,196748,-,hypothetical protein,Transcription,Q9I6W0,
PA0173,PA0173,,197011,198060,-,chemotaxis response regulator protein-glutamate methylesterase,Cell motility,Q9I6V9,
PA0174,PA0174,,198080,198682,-,hypothetical protein,Cell motility,Q9I6V8,
PA0175,PA0175,,198688,199530,-,chemotaxis protein methyltransferase,Cell motility,Q9I6V7,
PA0176,aer2,,199600,201639,-,aerotaxis transducer Aer2,Cell motility,Q9I6V6,
PA0177,PA0177,,201675,202160,-,purine-binding chemotaxis protein,Cell motility,Q9I6V5,
PA0178,PA0178,,202147,204066,-,two-component sensor,Cell motility,Q9I6V4,
PA0179,PA0179,,204094,204459,-,two-component response regulator,Transcription,Q9I6V3,
PA0180,cttP,,204657,205829,-,trichloroethylene chemotactic transducer CttP,Cell motility,Q9I6V2,
PA0181,PA0181,,206022,206954,-,transcriptional regulator,Transcription,Q9I6V1,
PA0182,PA0182,,207071,207823,+,3-ketoacyl-ACP reductase,Lipid transport and metabolism,Q9I6V0,
PA0183,atsA,,207923,209533,-,arylsulfatase,Inorganic ion transport and metabolism,P51691,"CysB,AtsR"
PA0184,PA0184,,209621,210460,-,ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,Q9I6U9,"CysB,AtsR"
PA0185,PA0185,,210457,212073,-,ABC transporter permease,Inorganic ion transport and metabolism,Q9I6U8,"CysB,AtsR"
PA0186,atsR,,212340,213401,+,ABC transporter,Inorganic ion transport and metabolism,G3XD96,CysB
PA0187,PA0187,,213819,214634,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I6U7,
PA0188,PA0188,,214631,215512,+,hypothetical protein,Function unknown,Q9I6U6,
PA0189,PA0189,,215550,216908,-,porin,Function unknown,Q9I6U5,
PA0190,PA0190,,217156,217881,+,acid phosphatase,Lipid transport and metabolism,Q9I6U4,
PA0191,PA0191,,217905,218822,-,transcriptional regulator,Transcription,Q9I6U3,
PA0192,PA0192,,219172,221544,+,TonB-dependent receptor,Inorganic ion transport and metabolism,Q9I6U2,
PA0193,PA0193,,221585,222487,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I6U1,
PA0194,PA0194,,222555,223454,+,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",Q9I6U0,
PA0195,pntAA,,224101,225219,+,NAD(P) transhydrogenase subunit alpha,Energy production and conversion,Q14T74,
PA0195.1,pntAB,,225295,225603,+,NAD(P) transhydrogenase subunit alpha,Energy production and conversion,Q14T73,
PA0196,pntB,,225603,227039,+,pyridine nucleotide transhydrogenase subunit beta,Energy production and conversion,Q9I6T9,
PA0197,tonB2,,227382,228194,+,transporter TonB,Cell wall/membrane/envelope biogenesis,Q9RMT3,
PA0198,exbB1,,228223,228942,+,transporter ExbB,"Intracellular trafficking, secretion, and vesicular transport",G3XCW0,
PA0199,exbD1,,228944,229345,+,biopolymer transport protein ExbD,"Intracellular trafficking, secretion, and vesicular transport",Q9RMT1,
PA0200,PA0200,,229526,229738,-,hypothetical protein,Function unknown,Q9I6T8,
PA0201,PA0201,,229954,230535,+,hypothetical protein,Function unknown,Q9I6T7,
PA0202,PA0202,,230543,232000,-,amidase,"Translation, ribosomal structure and biogenesis",Q9I6T6,
PA0203,PA0203,,232066,233100,-,ABC transporter,Amino acid transport and metabolism,Q9I6T5,
PA0204,PA0204,,233123,233932,-,ABC transporter permease,Amino acid transport and metabolism,Q9I6T4,
PA0205,PA0205,,233929,234849,-,ABC transporter permease,Amino acid transport and metabolism,Q9I6T3,
PA0206,PA0206,,234875,235987,-,spermidine/putrescine ABC transporter ATP-binding protein,Amino acid transport and metabolism,Q9I6T2,
PA0207,PA0207,,236218,237111,+,transcriptional regulator,Transcription,Q9I6T1,
PA0208,mdcA,,237232,238896,+,malonate decarboxylase subunit alpha,Lipid transport and metabolism,Q9I6T0,MdcR
PA0209,PA0209,,238896,239777,+,2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase,Coenzyme transport and metabolism,Q9I6S9,MdcR
PA0210,mdcC,,239779,240078,+,malonate decarboxylase acyl carrier protein,Energy production and conversion,Q9I6S8,MdcR
PA0211,mdcD,,240071,240934,+,malonate decarboxylase subunit beta,Lipid transport and metabolism,Q9I6S7,MdcR
PA0212,mdcE,,240931,241737,+,malonate decarboxylase subunit gamma,Lipid transport and metabolism,Q9I6S6,MdcR
PA0213,PA0213,,241753,242445,+,phosphoribosyl-dephospho-CoA transferase,Coenzyme transport and metabolism,Q9I6S5,MdcR
PA0214,PA0214,,242442,243374,+,acyl transferase,Lipid transport and metabolism,Q9I6S4,MdcR
PA0215,PA0215,,243431,243835,+,malonate transporter MadL,Function unknown,Q9I6S3,
PA0216,PA0216,,243841,244605,+,malonate transporter MadM,Function unknown,Q9I6S2,
PA0217,mdcR,,244690,245619,-,transcriptional regulator,Transcription,Q9I6S1,
PA0218,PA0218,,245948,246868,-,transcriptional regulator,Transcription,Q9I6S0,
PA0219,PA0219,,247219,248709,+,aldehyde dehydrogenase,Energy production and conversion,Q9I6R9,
PA0220,PA0220,,248767,250200,+,amino acid APC family transporter,Amino acid transport and metabolism,Q9I6R8,
PA0221,PA0221,,250231,251613,+,aminotransferase,Coenzyme transport and metabolism,Q9I6R7,
PA0222,PA0222,,251777,252835,+,hypothetical protein,Amino acid transport and metabolism,Q9I6R6,
PA0223,PA0223,,252913,253794,-,dihydrodipicolinate synthetase,Amino acid transport and metabolism,Q9I6R5,
PA0224,PA0224,,253854,254636,-,class II aldolase/adducin domain-containing protein,Carbohydrate transport and metabolism,Q9I6R4,
PA0225,PA0225,,254791,255330,+,transcriptional regulator,Transcription,Q9I6R3,
PA0226,PA0226,,255481,256332,+,CoA transferase subunit A,Lipid transport and metabolism,Q9I6R2,
PA0227,PA0227,,256329,257111,+,CoA transferase subunit B,Lipid transport and metabolism,Q9I6R1,
PA0228,pcaF,,257108,258313,+,beta-ketoadipyl CoA thiolase,Lipid transport and metabolism,Q9I6R0,
PA0229,pcaT,,258463,259761,+,dicarboxylic acid transporter PcaT,Amino acid transport and metabolism,Q9I6Q9,
PA0230,pcaB,,259784,261163,+,3-carboxy-cis%2Ccis-muconate cycloisomerase,Nucleotide transport and metabolism,Q9I6Q8,
PA0231,pcaD,,261179,261970,+,3-oxoadipate enol-lactonase,Function unknown,Q9I6Q7,
PA0232,pcaC,,261981,262382,+,4-carboxymuconolactone decarboxylase,Function unknown,Q9I6Q6,
PA0233,PA0233,,262557,263498,+,transcriptional regulator,Transcription,Q9I6Q5,
PA0234,PA0234,,263689,264522,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,Q9I6Q4,
PA0235,pcaK,,264964,266310,-,4-hydroxybenzoate transporter PcaK,Amino acid transport and metabolism,Q9I6Q3,
PA0236,PA0236,,266616,267395,+,transcriptional regulator,Transcription,Q9I6Q2,
PA0237,PA0237,,267638,268681,+,oxidoreductase,Function unknown,Q9I6Q1,
PA0238,PA0238,,268704,269519,+,hypothetical protein,Carbohydrate transport and metabolism,Q9I6Q0,
PA0239,PA0239,,269669,270547,+,hypothetical protein,Amino acid transport and metabolism,Q9I6P9,
PA0240,PA0240,,270573,271838,-,porin,Function unknown,Q9I6P8,
PA0241,PA0241,,271904,273229,-,major facilitator superfamily transporter,Carbohydrate transport and metabolism,Q9I6P7,
PA0242,PA0242,,273775,275679,+,hypothetical protein,Amino acid transport and metabolism,Q9I6P6,
PA0243,PA0243,,275772,276440,+,transcriptional regulator,Transcription,Q9I6P5,
PA0244,PA0244,,276480,277334,-,shikimate 5-dehydrogenase,Amino acid transport and metabolism,Q9I6P4,
PA0245,aroQ2,,277331,277777,-,3-dehydroquinate dehydratase,Amino acid transport and metabolism,Q9I6P3,
PA0246,PA0246,,277894,279399,-,major facilitator superfamily transporter,"Intracellular trafficking, secretion, and vesicular transport",Q9I6P2,
PA0247,pobA,,279574,280758,-,4-hydroxybenzoate 3-monooxygenase,Energy production and conversion,P20586,
PA0248,PA0248,,280936,281802,+,transcriptional regulator,Transcription,Q9I6P1,
PA0249,PA0249,,281799,282245,-,acetyltransferase,Transcription,Q9I6P0,
PA0250,PA0250,,282323,282757,-,hypothetical protein,Signal transduction mechanisms,Q9I6N9,
PA0251,PA0251,,282912,283553,-,hypothetical protein,Function unknown,Q9I6N8,
PA0252,PA0252,,283818,284105,-,hypothetical protein,No COG annotation,Q9I6N7,
PA0253,PA0253,,284197,284673,-,transcriptional regulator,Transcription,Q9I6N6,
PA0254,PA0254,,284714,286204,-,hypothetical protein,Coenzyme transport and metabolism,Q9I6N5,
PA0255,PA0255,,286338,287024,-,hypothetical protein,Function unknown,Q9I6N4,
PA0256,PA0256,,287188,288120,-,hypothetical protein,No COG annotation,Q9I6N3,
PA0257,PA0257,,288384,289175,-,hypothetical protein,"Replication, recombination and repair",Q9I6N2,
PA0258,PA0258,,289205,289390,-,hypothetical protein,"Replication, recombination and repair",Q9I6N1,
PA0259,PA0259,,289562,291004,-,hypothetical protein,Function unknown,Q9I6N0,
PA0260,PA0260,,291154,293304,-,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",Q9I6M9,
PA0261,PA0261,,293301,293798,-,hypothetical protein,No COG annotation,Q9I6M8,
PA0262,PA0262,,293802,296861,-,hypothetical protein,Function unknown,Q9I6M7,
PA0263,hcpC,,297043,297561,-,secreted protein Hcp,Function unknown,Q9HI36,
PA0265,gabD,,299522,300973,+,glutarate-semialdehyde dehydrogenase DavD,Energy production and conversion,Q9I6M5,
PA0266,PA0266,,301218,302498,+,5-aminovalerate aminotransferase DavT,Amino acid transport and metabolism,Q9I6M4,
PA0267,PA0267,,302824,304023,+,hypothetical protein,Signal transduction mechanisms,Q9I6M3,
PA0268,PA0268,,304177,305598,-,transcriptional regulator,Transcription,Q9I6M2,
PA0269,PA0269,,305725,306162,+,hypothetical protein,Function unknown,Q9I6M1,PA0268
PA0270,PA0270,,306174,306581,+,hypothetical protein,Function unknown,Q9I6M0,PA0268
PA0271,PA0271,,306615,306899,+,hypothetical protein,Function unknown,Q9I6L9,
PA0272,PA0272,,306896,307828,-,transcriptional regulator,Transcription,Q9I6L8,
PA0273,PA0273,,307878,309092,-,major facilitator superfamily transporter,Inorganic ion transport and metabolism,Q9I6L7,
PA0274,PA0274,,309255,310025,-,hypothetical protein,No COG annotation,Q9I6L6,
PA0275,PA0275,,310134,310820,-,transcriptional regulator,Transcription,Q9I6L5,
PA0276,PA0276,,310896,311411,+,hypothetical protein,Function unknown,Q9I6L4,
PA0277,PA0277,,311451,312209,-,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",Q9I6L3,
PA0278,PA0278,,312381,313133,-,hypothetical protein,Function unknown,Q9I6L2,
