locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ppGpp,link
b0423,0.0502964372,thiI,tRNA uridine 4-sulfurtransferase,Nucleotide transport and metabolism,thiI,"ppGpp,SAM",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6238
b1453,0.0501211576,ansP,L-asparagine transporter,Amino acid transport and metabolism,ansP,"YihW,RpoS,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6764
b1344,0.048538686500000004,ttcA,tRNA cytosine(32) 2-sulfurtransferase TtcA,"Translation, ribosomal structure and biogenesis",ttcA,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6675
b0961,0.0485309005,yccF,conserved inner membrane protein YccF,Function unknown,yccFS,"YbaQ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6496
b0143,0.0481293278,pcnB,poly(A) polymerase I,Nucleotide transport and metabolism,pcnB-folK,"RpoD,RpoS,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10690
b1629,0.0480514391,rsxC,SoxR [2Fe-2S] reducing system protein RsxC,Energy production and conversion,ydgK-rsxABCDGE-nth,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6873
b2581,0.0473291812,yfiF,putative methyltransferase,"Translation, ribosomal structure and biogenesis",yfiF,ArcA,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11786
b0914,0.0462458782,msbA,ATP-binding lipopolysaccharide transport protein,Defense mechanisms,ycaI-msbA-lpxK-ycaQ,"YeiE,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10613
b0815,0.0461152247,opgE,phosphoethanolamine transferase,Function unknown,opgE,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6418
b4108,0.0456410463,yjdM,conserved protein YjdM,Inorganic ion transport and metabolism,yjdM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10711
b2961,0.045492334700000005,mutY,adenine DNA glycosylase,"Replication, recombination and repair",mutY-yggX-mltC-nupG,Lrp,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10627
b0142,0.0452076379,folK,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,Coenzyme transport and metabolism,pcnB-folK,"RpoD,RpoS,DksA,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11374
b3862,0.0450969556,yihG,putative acyltransferase YihG,Lipid transport and metabolism,yihG,"RpoS,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11833
b0238,0.0449635995,gpt,xanthine-guanine phsophoribosyltransferase,Nucleotide transport and metabolism,gpt,"RpoD,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10414
